"d_codigo","d_asenta","d_tipo_asenta","D_mnpio","d_estado","d_ciudad","d_CP","c_estado","c_oficina","c_CP","c_tipo_asenta","c_mnpio","id_asenta_cpcons","d_zona","c_cve_ciudad"
"21000","Centro Cívico","Colonia","Mexicali","Baja California","Mexicali","21001","02","21001",,"09","002","0001","Urbano","02"
"21009","Mexicali (Gral. Rodolfo Sánchez Taboada)","Aeropuerto","Mexicali","Baja California","Mexicali","21101","02","21101",,"01","002","0005","Rural","02"
"21010","Caliss","Conjunto habitacional","Mexicali","Baja California","Mexicali","21101","02","21101",,"12","002","0006","Urbano","02"
"21010","Zona Industrial","Colonia","Mexicali","Baja California","Mexicali","21101","02","21101",,"09","002","0008","Urbano","02"
"21010","Residencial Cerrada del Parque","Fraccionamiento","Mexicali","Baja California","Mexicali","21101","02","21101",,"21","002","1658","Urbano","02"
"21010","Industrial","Colonia","Mexicali","Baja California","Mexicali","21101","02","21101",,"09","002","0007","Urbano","02"
"21020","Burócrata","Colonia","Mexicali","Baja California","Mexicali","21105","02","21105",,"09","002","0009","Urbano","02"
"21030","Nacozari","Colonia","Mexicali","Baja California","Mexicali","21001","02","21001",,"09","002","0010","Urbano","02"
"21030","Libertad","Colonia","Mexicali","Baja California","Mexicali","21001","02","21001",,"09","002","0011","Urbano","02"
"21038","FOVISSSTE","Fraccionamiento","Mexicali","Baja California","Mexicali","21101","02","21101",,"21","002","0012","Urbano","02"
"21039","Crnl. Esteban Cantú","Colonia","Mexicali","Baja California","Mexicali","21001","02","21001",,"09","002","0013","Urbano","02"
"21040","Calafia","Fraccionamiento","Mexicali","Baja California","Mexicali","21001","02","21001",,"21","002","0014","Urbano","02"
"21040","Ferrocarril","Colonia","Mexicali","Baja California","Mexicali","21001","02","21001",,"09","002","0015","Urbano","02"
"21050","Nueva Esperanza","Colonia","Mexicali","Baja California","Mexicali","21181","02","21181",,"09","002","0018","Urbano","02"
"21050","Guajardo","Fraccionamiento","Mexicali","Baja California","Mexicali","21181","02","21181",,"21","002","0016","Urbano","02"
"21050","San Marcos","Fraccionamiento","Mexicali","Baja California","Mexicali","21181","02","21181",,"21","002","0017","Urbano","02"
"21060","Constituyentes","Colonia","Mexicali","Baja California","Mexicali","21001","02","21001",,"09","002","0020","Urbano","02"
"21060","Josué Molina","Colonia","Mexicali","Baja California","Mexicali","21001","02","21001",,"09","002","0021","Urbano","02"
"21060","Indeco Anáhuac","Colonia","Mexicali","Baja California","Mexicali","21001","02","21001",,"09","002","1659","Urbano","02"
"21060","Anáhuac","Colonia","Mexicali","Baja California","Mexicali","21001","02","21001",,"09","002","0019","Urbano","02"
"21070","Zacatecas","Fraccionamiento","Mexicali","Baja California","Mexicali","21001","02","21001",,"21","002","0023","Urbano","02"
"21070","Balbuena","Fraccionamiento","Mexicali","Baja California","Mexicali","21001","02","21001",,"21","002","0022","Urbano","02"
"21070","Zona Industrial","Zona industrial","Mexicali","Baja California","Mexicali","21001","02","21001",,"37","002","1660","Urbano","02"
"21079","Los Arcos","Fraccionamiento","Mexicali","Baja California","Mexicali","21001","02","21001",,"21","002","0024","Urbano","02"
"21080","El Vidrio","Colonia","Mexicali","Baja California","Mexicali","21001","02","21001",,"09","002","0025","Urbano","02"
"21080","18 de Marzo","Colonia","Mexicali","Baja California","Mexicali","21001","02","21001",,"09","002","0026","Urbano","02"
"21090","Zona Industrial","Zona industrial","Mexicali","Baja California","Mexicali","21001","02","21001",,"37","002","1662","Urbano","02"
"21090","Zacatecas","Ejido","Mexicali","Baja California","Mexicali","21001","02","21001",,"15","002","0028","Urbano","02"
"21090","Agualeguas","Colonia","Mexicali","Baja California","Mexicali","21001","02","21001",,"09","002","1661","Urbano","02"
"21090","Del Rastro","Colonia","Mexicali","Baja California","Mexicali","21001","02","21001",,"09","002","0027","Urbano","02"
"21100","Segunda Sección","Colonia","Mexicali","Baja California","Mexicali","21101","02","21101",,"09","002","0031","Urbano","02"
"21100","Primera Sección","Colonia","Mexicali","Baja California","Mexicali","21101","02","21101",,"09","002","0030","Urbano","02"
"21100","Nueva","Colonia","Mexicali","Baja California","Mexicali","21101","02","21101",,"09","002","0029","Urbano","02"
"21110","Eligio Esquivel","Colonia","Mexicali","Baja California","Mexicali","21101","02","21101",,"09","002","0034","Urbano","02"
"21110","Santa Clara","Colonia","Mexicali","Baja California","Mexicali","21101","02","21101",,"09","002","0037","Urbano","02"
"21110","Fronteriza","Colonia","Mexicali","Baja California","Mexicali","21101","02","21101",,"09","002","0035","Urbano","02"
"21110","Revolución","Colonia","Mexicali","Baja California","Mexicali","21101","02","21101",,"09","002","0036","Urbano","02"
"21120","Río Nuevo","Colonia","Mexicali","Baja California","Mexicali","21101","02","21101",,"09","002","0039","Urbano","02"
