"d_codigo","d_asenta","d_tipo_asenta","D_mnpio","d_estado","d_ciudad","d_CP","c_estado","c_oficina","c_CP","c_tipo_asenta","c_mnpio","id_asenta_cpcons","d_zona","c_cve_ciudad"
"31000","Colon","Colonia","Chihuahua","Chihuahua","Chihuahua","31001","08","31001",,"09","019","2254","Urbano","02"
"31000","Zona Centro","Colonia","Chihuahua","Chihuahua","Chihuahua","31001","08","31001",,"09","019","2249","Urbano","02"
"31000","San Pedro","Barrio","Chihuahua","Chihuahua","Chihuahua","31001","08","31001",,"02","019","2250","Urbano","02"
"31000","Parque Rotario","Colonia","Chihuahua","Chihuahua","Chihuahua","31001","08","31001",,"09","019","2253","Urbano","02"
"31000","Sector Bolívar","Colonia","Chihuahua","Chihuahua","Chihuahua","31001","08","31001",,"09","019","2252","Urbano","02"
"31000","El Bajo","Barrio","Chihuahua","Chihuahua","Chihuahua","31001","08","31001",,"02","019","2255","Urbano","02"
"31008","Secretaria de Hacienda y Crédito Publico","Gran usuario","Chihuahua","Chihuahua","Chihuahua","31001","08","31001",,"22","019","0004","Urbano","02"
"31009","Palacio de Gobierno del Estado de Chihuahua","Gran usuario","Chihuahua","Chihuahua","Chihuahua","31001","08","31001",,"22","019","0005","Urbano","02"
"31020","Albino Mireles","Colonia","Chihuahua","Chihuahua","Chihuahua","31052","08","31052",,"09","019","2275","Urbano","02"
"31020","Rubio","Colonia","Chihuahua","Chihuahua","Chihuahua","31052","08","31052",,"09","019","2365","Urbano","02"
"31020","Jardines del Santuario","Fraccionamiento","Chihuahua","Chihuahua","Chihuahua","31052","08","31052",,"21","019","3859","Urbano","02"
"31020","Sector Salud","Colonia","Chihuahua","Chihuahua","Chihuahua","31052","08","31052",,"09","019","2283","Urbano","02"
"31020","Zarco","Residencial","Chihuahua","Chihuahua","Chihuahua","31052","08","31052",,"30","019","2360","Urbano","02"
"31020","Linss","Colonia","Chihuahua","Chihuahua","Chihuahua","31052","08","31052",,"09","019","2364","Urbano","02"
"31020","Santa Rita","Colonia","Chihuahua","Chihuahua","Chihuahua","31052","08","31052",,"09","019","2271","Urbano","02"
"31020","Cuauhtémoc","Unidad habitacional","Chihuahua","Chihuahua","Chihuahua","31052","08","31052",,"31","019","2272","Urbano","02"
"31020","Cuarteles","Colonia","Chihuahua","Chihuahua","Chihuahua","31052","08","31052",,"09","019","2358","Urbano","02"
"31020","Herradura Pdu","Colonia","Chihuahua","Chihuahua","Chihuahua","31052","08","31052",,"09","019","2363","Urbano","02"
"31020","Zarco","Fraccionamiento","Chihuahua","Chihuahua","Chihuahua","31052","08","31052",,"21","019","2279","Urbano","02"
"31020","Pacifico","Colonia","Chihuahua","Chihuahua","Chihuahua","31052","08","31052",,"09","019","2274","Urbano","02"
"31020","Inalámbrica","Colonia","Chihuahua","Chihuahua","Chihuahua","31052","08","31052",,"09","019","2281","Urbano","02"
"31020","Las Huertas","Colonia","Chihuahua","Chihuahua","Chihuahua","31052","08","31052",,"09","019","3858","Urbano","02"
"31020","Claudia","Fraccionamiento","Chihuahua","Chihuahua","Chihuahua","31052","08","31052",,"21","019","3870","Urbano","02"
"31029","Comandancia Zona Militar","Gran usuario","Chihuahua","Chihuahua","Chihuahua","31052","08","31052",,"22","019","0010","Urbano","02"
"31030","Rosario","Colonia","Chihuahua","Chihuahua","Chihuahua","31052","08","31052",,"09","019","2466","Urbano","02"
"31030","Reforma","Colonia","Chihuahua","Chihuahua","Chihuahua","31052","08","31052",,"09","019","2469","Urbano","02"
"31030","Ramiro Valles","Colonia","Chihuahua","Chihuahua","Chihuahua","31052","08","31052",,"09","019","2468","Urbano","02"
"31030","Pacifico","Colonia","Chihuahua","Chihuahua","Chihuahua","31052","08","31052",,"09","019","2448","Urbano","02"
"31030","Francisco I Madero","Colonia","Chihuahua","Chihuahua","Chihuahua","31052","08","31052",,"09","019","2452","Urbano","02"
"31030","San Martin","Colonia","Chihuahua","Chihuahua","Chihuahua","31052","08","31052",,"09","019","2470","Urbano","02"
"31034","Ferrocarrilera","Colonia","Chihuahua","Chihuahua","Chihuahua","31052","08","31052",,"09","019","2623","Urbano","02"
"31034","Gustavo Diaz Ordaz","Colonia","Chihuahua","Chihuahua","Chihuahua","31052","08","31052",,"09","019","2619","Urbano","02"
"31034","Reforma","Ampliacion","Chihuahua","Chihuahua","Chihuahua","31052","08","31052",,"38","019","2622","Urbano","02"
"31034","Gustavo Díaz Ordaz","Ampliacion","Chihuahua","Chihuahua","Chihuahua","31052","08","31052",,"38","019","3854","Urbano","02"
"31034","Francisco R Almada","Fraccionamiento","Chihuahua","Chihuahua","Chihuahua","31052","08","31052",,"21","019","2620","Urbano","02"
"31034","Reforma","Colonia","Chihuahua","Chihuahua","Chihuahua","31052","08","31052",,"09","019","2621","Urbano","02"
"31050","Pablo Amaya Norte","Colonia","Chihuahua","Chihuahua","Chihuahua","31052","08","31052",,"09","019","2417","Urbano","02"
"31050","Bellavista","Colonia","Chihuahua","Chihuahua","Chihuahua","31052","08","31052",,"09","019","2430","Urbano","02"
