"d_codigo","d_asenta","d_tipo_asenta","D_mnpio","d_estado","d_ciudad","d_CP","c_estado","c_oficina","c_CP","c_tipo_asenta","c_mnpio","id_asenta_cpcons","d_zona","c_cve_ciudad"
"25000","Saltillo Zona Centro","Colonia","Saltillo","Coahuila","Saltillo","25001","05","25001",,"09","030","0001","Urbano","08"
"25008","Palacio de Gobierno del Estado de Coahuila","Gran usuario","Saltillo","Coahuila","Saltillo","25001","05","25001",,"22","030","0005","Urbano","08"
"25010","Privada La Campana","Colonia","Saltillo","Coahuila","Saltillo","25001","05","25001",,"09","030","2401","Urbano","08"
"25010","Balcones de Morelos","Fraccionamiento","Saltillo","Coahuila","Saltillo","25001","05","25001",,"21","030","2697","Urbano","08"
"25010","Parajes de La Sierra","Fraccionamiento","Saltillo","Coahuila","Saltillo","25001","05","25001",,"21","030","2906","Urbano","08"
"25010","Amistad","Fraccionamiento","Saltillo","Coahuila","Saltillo","25001","05","25001",,"21","030","1845","Urbano","08"
"25010","Vista Hermosa","Ampliacion","Saltillo","Coahuila","Saltillo","25001","05","25001",,"38","030","1806","Urbano","08"
"25010","Las Coquetas","Colonia","Saltillo","Coahuila","Saltillo","25001","05","25001",,"09","030","0007","Urbano","08"
"25010","Los Cerritos","Colonia","Saltillo","Coahuila","Saltillo","25001","05","25001",,"09","030","0008","Urbano","08"
"25010","Vista Hermosa","Colonia","Saltillo","Coahuila","Saltillo","25001","05","25001",,"09","030","0009","Urbano","08"
"25010","La Fuente","Fraccionamiento","Saltillo","Coahuila","Saltillo","25001","05","25001",,"21","030","1842","Urbano","08"
"25010","Privada La Misión","Colonia","Saltillo","Coahuila","Saltillo","25001","05","25001",,"09","030","2400","Urbano","08"
"25010","La Fuente 2a Ampliación","Ampliacion","Saltillo","Coahuila","Saltillo","25001","05","25001",,"38","030","2807","Urbano","08"
"25010","Nuevo Saltillo","Colonia","Saltillo","Coahuila","Saltillo","25001","05","25001",,"09","030","2830","Urbano","08"
"25010","Privada de San Javier","Fraccionamiento","Saltillo","Coahuila","Saltillo","25001","05","25001",,"21","030","2832","Urbano","08"
"25010","Solidaridad","Colonia","Saltillo","Coahuila","Saltillo","25001","05","25001",,"09","030","2877","Urbano","08"
"25013","15 de Septiembre","Ampliacion","Saltillo","Coahuila","Saltillo","25001","05","25001",,"38","030","0012","Urbano","08"
"25013","Amistad II","Parque industrial","Saltillo","Coahuila","Saltillo","25001","05","25001",,"26","030","2579","Urbano","08"
"25013","Valle de Morelos","Fraccionamiento","Saltillo","Coahuila","Saltillo","25001","05","25001",,"21","030","2864","Urbano","08"
"25013","15 de Septiembre","Colonia","Saltillo","Coahuila","Saltillo","25001","05","25001",,"09","030","0011","Urbano","08"
"25013","Morelos Nueva Creación","Fraccionamiento","Saltillo","Coahuila","Saltillo","25001","05","25001",,"21","030","2578","Urbano","08"
"25013","Morelos","Ampliacion","Saltillo","Coahuila","Saltillo","25001","05","25001",,"38","030","1844","Urbano","08"
"25013","Privada San Javier","Fraccionamiento","Saltillo","Coahuila","Saltillo","25001","05","25001",,"21","030","2871","Urbano","08"
"25014","10 de Abril","Colonia","Saltillo","Coahuila","Saltillo","25001","05","25001",,"09","030","0013","Urbano","08"
"25014","San Pedro de los Pinos","Colonia","Saltillo","Coahuila","Saltillo","25001","05","25001",,"09","030","0014","Urbano","08"
"25014","Cecilia Ocelli de Salinas","Colonia","Saltillo","Coahuila","Saltillo","25001","05","25001",,"09","030","2402","Urbano","08"
"25015","Nuevo Amanecer","Colonia","Saltillo","Coahuila","Saltillo","25001","05","25001",,"09","030","2403","Urbano","08"
"25015","Nueva Independencia","Colonia","Saltillo","Coahuila","Saltillo","25001","05","25001",,"09","030","2563","Urbano","08"
"25015","Villa de Santiago","Colonia","Saltillo","Coahuila","Saltillo","25001","05","25001",,"09","030","1747","Urbano","08"
"25015","Lomas del Pedregal","Colonia","Saltillo","Coahuila","Saltillo","25001","05","25001",,"09","030","1759","Urbano","08"
"25015","Salomón Abedrop","Colonia","Saltillo","Coahuila","Saltillo","25001","05","25001",,"09","030","2404","Urbano","08"
"25015","Nuevo Progreso","Colonia","Saltillo","Coahuila","Saltillo","25001","05","25001",,"09","030","2564","Urbano","08"
"25015","Los Fundadores","Colonia","Saltillo","Coahuila","Saltillo","25001","05","25001",,"09","030","0015","Urbano","08"
"25015","Lomas de Zapaliname","Fraccionamiento","Saltillo","Coahuila","Saltillo","25001","05","25001",,"21","030","1769","Urbano","08"
"25015","Valle de las Aves","Colonia","Saltillo","Coahuila","Saltillo","25001","05","25001",,"09","030","1770","Urbano","08"
"25015","Lomas de San Francisco","Colonia","Saltillo","Coahuila","Saltillo","25001","05","25001",,"09","030","2562","Urbano","08"
"25015","Introductores de Ganado","Colonia","Saltillo","Coahuila","Saltillo","25001","05","25001",,"09","030","2709","Urbano","08"
