"d_codigo","d_asenta","d_tipo_asenta","D_mnpio","d_estado","d_ciudad","d_CP","c_estado","c_oficina","c_CP","c_tipo_asenta","c_mnpio","id_asenta_cpcons","d_zona","c_cve_ciudad"
"28000","Colima Centro","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0001","Urbano","01"
"28010","El Diezmo","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0012","Urbano","01"
"28010","Lomas de Circunvalación","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0014","Urbano","01"
"28012","ISSSTE Lomas","Unidad habitacional","Colima","Colima","Colima","28003","06","28003",,"31","002","0016","Urbano","01"
"28014","Jardines de las Lomas","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0017","Urbano","01"
"28016","Lomas Vistahermosa","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0019","Urbano","01"
"28017","Bugambilias","Condominio","Colima","Colima","Colima","28003","06","28003",,"10","002","0020","Urbano","01"
"28017","Jardines Vista Hermosa","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0022","Urbano","01"
"28017","Los Olivos","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0743","Urbano","01"
"28017","Jardines de La Hacienda","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","761","Urbano","01"
"28017","Villas Colinas","Condominio","Colima","Colima","Colima","28003","06","28003",,"10","002","0738","Urbano","01"
"28017","Lomas Verdes","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0024","Urbano","01"
"28017","Real Santa Bárbara","Residencial","Colima","Colima","Colima","28003","06","28003",,"30","002","762","Urbano","01"
"28017","Puerta del Sol","Residencial","Colima","Colima","Colima","28003","06","28003",,"30","002","0651","Urbano","01"
"28017","Privada San Rafael","Fraccionamiento","Colima","Colima","Colima","28003","06","28003",,"21","002","0729","Urbano","01"
"28017","Las Palmas","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0023","Urbano","01"
"28017","Villanova","Fraccionamiento","Colima","Colima","Colima","28003","06","28003",,"21","002","0665","Urbano","01"
"28017","Parque Royal","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0025","Urbano","01"
"28017","Colinas de Santa Bárbara","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0021","Urbano","01"
"28017","Residencial Santa Bárbara","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0026","Urbano","01"
"28017","Esmeralda","Residencial","Colima","Colima","Colima","28003","06","28003",,"30","002","0652","Urbano","01"
"28017","Residencial Esmeralda Norte","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0739","Urbano","01"
"28017","Victoria","Residencial","Colima","Colima","Colima","28003","06","28003",,"30","002","763","Urbano","01"
"28018","Real Vista Hermosa","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0661","Urbano","01"
"28018","Girasoles","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0662","Urbano","01"
"28018","Real Vista Hermosa III","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0742","Urbano","01"
"28018","Valle Dorado","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0735","Urbano","01"
"28018","Puerta Paraíso","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0736","Urbano","01"
"28019","El Porvenir","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0027","Urbano","01"
"28020","La Armonía","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0028","Urbano","01"
"28023","Jardines de Guadalupe","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0728","Urbano","01"
"28025","Niños Héroes","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0029","Urbano","01"
"28025","Villa los Prados","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0727","Urbano","01"
"28030","Jardines de La Corregidora","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0031","Urbano","01"
"28030","Militar Lomas","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0034","Urbano","01"
"28030","Magisterial","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0033","Urbano","01"
"28030","Morelos","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0035","Urbano","01"
"28030","Jardines Residenciales","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0032","Urbano","01"
"28030","Guadalajarita","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0030","Urbano","01"
"28035","Huertas del Sol","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0036","Urbano","01"
"28037","Hidalgo","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0037","Urbano","01"
"28040","Las Víboras","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0040","Urbano","01"
"28040","INFONAVIT La Estancia","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0039","Urbano","01"
"28040","Burócratas Municipales","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0623","Urbano","01"
"28040","Camino Real","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0038","Urbano","01"
"28043","INFONAVIT Camino Real","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0042","Urbano","01"
"28044","FOVISSSTE","Unidad habitacional","Colima","Colima","Colima","28003","06","28003",,"31","002","0043","Urbano","01"
"28045","Villa San Sebastián","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0044","Urbano","01"
"28046","Oriental","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0045","Urbano","01"
"28047","Josefa Ortiz de Domínguez","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0049","Urbano","01"
"28047","La Virgencita","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0050","Urbano","01"
"28047","Lázaro Cárdenas","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0051","Urbano","01"
"28047","Los Pinos","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0552","Urbano","01"
"28047","Camino Real","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0046","Urbano","01"
"28047","San José Norte","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0054","Urbano","01"
"28047","Pablo Silva García","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0647","Urbano","01"
"28047","Luis Donaldo Colosio","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0052","Urbano","01"
"28047","Revolución","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0053","Urbano","01"
"28047","Santa Elena","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0648","Urbano","01"
"28047","Unidad Antorchista","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0650","Urbano","01"
"28047","Jardines de La Estancia","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0048","Urbano","01"
"28047","Las Torres","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0649","Urbano","01"
"28047","Francisco I Madero","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0047","Urbano","01"
"28047","El Mirador de Colima","Fraccionamiento","Colima","Colima","Colima","28003","06","28003",,"21","002","794","Urbano","01"
"28048","Los Ángeles","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0060","Urbano","01"
"28048","Santa Amalia","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0066","Urbano","01"
"28048","Jardines del Sol","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0645","Urbano","01"
"28048","El Pedregal","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0056","Urbano","01"
"28048","Moctezuma","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0061","Urbano","01"
"28048","La Estancia","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0058","Urbano","01"
"28048","La Guadalupe","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0059","Urbano","01"
"28048","Paraíso","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0063","Urbano","01"
"28048","Mirador de La Cumbre II","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","768","Urbano","01"
"28048","Cuauhtémoc","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0055","Urbano","01"
"28048","Insurgentes","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0057","Urbano","01"
"28048","Nuevo Paraíso","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0062","Urbano","01"
"28048","Vicente Guerrero","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0067","Urbano","01"
"28048","San Rafael","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0065","Urbano","01"
"28048","Nuevo Milenio","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0667","Urbano","01"
"28048","Los Jazmines","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0734","Urbano","01"
"28048","Mirador de La Cumbre III","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","769","Urbano","01"
"28048","Ignacio Zaragoza","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","770","Urbano","01"
"28048","San José Sur","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0064","Urbano","01"
"28048","Mirador de La Cumbre","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0668","Urbano","01"
"28048","Gustavo Vázquez Montes","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0723","Urbano","01"
"28050","Placetas Estadio","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0069","Urbano","01"
"28050","Villas Primaveras","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0724","Urbano","01"
"28050","Privada San Francisco","Fraccionamiento","Colima","Colima","Colima","28003","06","28003",,"21","002","0726","Urbano","01"
"28050","Rincón del Bosque","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0725","Urbano","01"
"28050","Fátima","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0068","Urbano","01"
"28050","Villas del Bosque","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0070","Urbano","01"
"28060","San Pablo","Residencial","Colima","Colima","Colima","28003","06","28003",,"30","002","0074","Urbano","01"
"28060","El Moralete","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0071","Urbano","01"
"28063","Santa Gertrudis","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0732","Urbano","01"
"28063","Las Haciendas","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0733","Urbano","01"
"28063","Los Volcanes","Colonia","Colima","Colima","Colima","28003","06","28003",,"09","002","0740","Urbano","01"
