"d_codigo","d_asenta","d_tipo_asenta","D_mnpio","d_estado","d_ciudad","d_CP","c_estado","c_oficina","c_CP","c_tipo_asenta","c_mnpio","id_asenta_cpcons","d_zona","c_cve_ciudad"
"01000","San Angel","Colonia","Álvaro Obregón","Distrito Federal",,"01001","09","01001",,"09","010","0001","Urbano",
"01010","Los Alpes","Colonia","Álvaro Obregón","Distrito Federal",,"01001","09","01001",,"09","010","0005","Urbano",
"01020","Guadalupe Inn","Colonia","Álvaro Obregón","Distrito Federal",,"01001","09","01001",,"09","010","0006","Urbano",
"01028","Secretaria de Contraloría y Desarrollo Administrativo","Gran usuario","Álvaro Obregón","Distrito Federal",,"01001","09","01001",,"22","010","0007","Urbano",
"01029","INFONAVIT","Gran usuario","Álvaro Obregón","Distrito Federal",,"01001","09","01001",,"22","010","0008","Urbano",
"01030","Florida","Colonia","Álvaro Obregón","Distrito Federal",,"01001","09","01001",,"09","010","0010","Urbano",
"01030","Axotla","Pueblo","Álvaro Obregón","Distrito Federal",,"01001","09","01001",,"28","010","0009","Urbano",
"01040","Campestre","Colonia","Álvaro Obregón","Distrito Federal",,"01001","09","01001",,"09","010","0012","Urbano",
"01048","Las Águilas","Unidad habitacional","Álvaro Obregón","Distrito Federal",,"01001","09","01001",,"31","010","0013","Urbano",
"01049","Tlacopac","Pueblo","Álvaro Obregón","Distrito Federal",,"01001","09","01001",,"28","010","0014","Urbano",
"01050","Ex-Hacienda de Guadalupe Chimalistac","Colonia","Álvaro Obregón","Distrito Federal",,"01001","09","01001",,"09","010","0016","Urbano",
"01060","San Angel Inn","Colonia","Álvaro Obregón","Distrito Federal",,"01001","09","01001",,"09","010","0018","Urbano",
"01060","Altavista","Colonia","Álvaro Obregón","Distrito Federal",,"01001","09","01001",,"09","010","0017","Urbano",
"01070","Chimalistac","Colonia","Álvaro Obregón","Distrito Federal",,"01001","09","01001",,"09","010","0019","Urbano",
"01080","Progreso Tizapan","Colonia","Álvaro Obregón","Distrito Federal",,"01001","09","01001",,"09","010","0022","Urbano",
"01089","Ermita Tizapan","Colonia","Álvaro Obregón","Distrito Federal",,"01001","09","01001",,"09","010","0024","Urbano",
"01090","La Otra Banda","Barrio","Álvaro Obregón","Distrito Federal",,"01001","09","01001",,"02","010","0025","Urbano",
"01090","Tizapan","Pueblo","Álvaro Obregón","Distrito Federal",,"01001","09","01001",,"28","010","0028","Urbano",
"01090","Loreto","Barrio","Álvaro Obregón","Distrito Federal",,"01001","09","01001",,"02","010","0026","Urbano",
"01100","Lomas de Santo Domingo","Unidad habitacional","Álvaro Obregón","Distrito Federal",,"01131","09","01131",,"31","010","0029","Urbano",
"01100","Pólvora","Colonia","Álvaro Obregón","Distrito Federal",,"01131","09","01131",,"09","010","0031","Urbano",
"01109","La Conchita","Colonia","Álvaro Obregón","Distrito Federal",,"01131","09","01131",,"09","010","0033","Urbano",
"01110","Ampliación El Capulin","Colonia","Álvaro Obregón","Distrito Federal",,"01131","09","01131",,"09","010","0037","Urbano",
"01110","El Capulín","Colonia","Álvaro Obregón","Distrito Federal",,"01131","09","01131",,"09","010","0036","Urbano",
"01110","Liberales de 1857","Colonia","Álvaro Obregón","Distrito Federal",,"01131","09","01131",,"09","010","0039","Urbano",
"01110","Belém de las Flores","Colonia","Álvaro Obregón","Distrito Federal",,"01131","09","01131",,"09","010","0034","Urbano",
