"d_codigo","d_asenta","d_tipo_asenta","D_mnpio","d_estado","d_ciudad","d_CP","c_estado","c_oficina","c_CP","c_tipo_asenta","c_mnpio","id_asenta_cpcons","d_zona","c_cve_ciudad"
"34000","Victoria de Durango Centro","Colonia","Durango","Durango","Durango","34001","10","34001",,"09","005","0001","Urbano","01"
"34000","Herrera Leyva","Fraccionamiento","Durango","Durango","Durango","34001","10","34001",,"21","005","2172","Urbano","01"
"34000","Privada del Sahuaro","Fraccionamiento","Durango","Durango","Durango","34001","10","34001",,"21","005","2213","Urbano","01"
"34005","INFONAVIT","Gran usuario","Durango","Durango","Durango","34001","10","34001",,"22","005","0006","Urbano","01"
"34008","Comisión Federal de Electricidad","Gran usuario","Durango","Durango","Durango","34001","10","34001",,"22","005","0008","Urbano","01"
"34009","Palacio de Gobierno del Estado de Durango","Gran usuario","Durango","Durango","Durango","34222","10","34222",,"22","005","0009","Urbano","01"
"34010","Morga","Colonia","Durango","Durango","Durango","34001","10","34001",,"09","005","0012","Urbano","01"
"34010","Valentín Gómez Farias","Colonia","Durango","Durango","Durango","34001","10","34001",,"09","005","1864","Urbano","01"
"34010","José López Portillo","Colonia","Durango","Durango","Durango","34001","10","34001",,"09","005","0011","Urbano","01"
"34010","Héctor Mayagoitia Domínguez","Colonia","Durango","Durango","Durango","34001","10","34001",,"09","005","0010","Urbano","01"
"34010","Minero Napoleón Gómez Sada","Fraccionamiento","Durango","Durango","Durango","34001","10","34001",,"21","005","3661","Urbano","01"
"34014","Las Palmas","Colonia","Durango","Durango","Durango","34001","10","34001",,"09","005","0013","Urbano","01"
"34015","Ampliación Héctor Mayagoitia","Colonia","Durango","Durango","Durango","34001","10","34001",,"09","005","0014","Urbano","01"
"34015","Ladera del Pedregal","Colonia","Durango","Durango","Durango","34001","10","34001",,"09","005","3476","Urbano","01"
"34016","Paseo de las Mangas","Fraccionamiento","Durango","Durango","Durango","34001","10","34001",,"21","005","1866","Urbano","01"
"34016","Morelos Norte","Colonia","Durango","Durango","Durango","34001","10","34001",,"09","005","1856","Urbano","01"
"34016","Lomas de San Isidro","Fraccionamiento","Durango","Durango","Durango","34001","10","34001",,"21","005","2162","Urbano","01"
"34016","Colinas de San Isidro","Fraccionamiento","Durango","Durango","Durango","34001","10","34001",,"21","005","2170","Urbano","01"
"34016","Privada San Ángel Inn","Fraccionamiento","Durango","Durango","Durango","34001","10","34001",,"21","005","2217","Urbano","01"
"34016","Amalia Solórzano","Colonia","Durango","Durango","Durango","34001","10","34001",,"09","005","1867","Urbano","01"
