"d_codigo","d_asenta","d_tipo_asenta","D_mnpio","d_estado","d_ciudad","d_CP","c_estado","c_oficina","c_CP","c_tipo_asenta","c_mnpio","id_asenta_cpcons","d_zona","c_cve_ciudad"
"36000","Guanajuato Centro","Colonia","Guanajuato","Guanajuato","Guanajuato","36001","11","36001",,"09","015","0001","Urbano","05"
"36003","Alameda","Colonia","Guanajuato","Guanajuato","Guanajuato","36001","11","36001",,"09","015","4455","Urbano","05"
"36008","Presidencia Municipal","Gran usuario","Guanajuato","Guanajuato","Guanajuato","36001","11","36001",,"22","015","0004","Urbano","05"
"36009","Oficina Federal de Hacienda","Gran usuario","Guanajuato","Guanajuato","Guanajuato","36001","11","36001",,"22","015","0005","Urbano","05"
"36010","Cerro del Cuarto","Colonia","Guanajuato","Guanajuato","Guanajuato","36001","11","36001",,"09","015","5168","Urbano","05"
"36010","Mellado","Colonia","Guanajuato","Guanajuato","Guanajuato","36001","11","36001",,"09","015","0007","Urbano","05"
"36010","Cata","Colonia","Guanajuato","Guanajuato","Guanajuato","36001","11","36001",,"09","015","0006","Urbano","05"
"36020","San Matías","Colonia","Guanajuato","Guanajuato","Guanajuato","36001","11","36001",,"09","015","0010","Urbano","05"
"36020","San Javier 1","Colonia","Guanajuato","Guanajuato","Guanajuato","36001","11","36001",,"09","015","0008","Urbano","05"
"36020","San Javier 2","Colonia","Guanajuato","Guanajuato","Guanajuato","36001","11","36001",,"09","015","0009","Urbano","05"
"36030","El Carrizo","Colonia","Guanajuato","Guanajuato","Guanajuato","36001","11","36001",,"09","015","0011","Urbano","05"
"36030","Las Momias","Colonia","Guanajuato","Guanajuato","Guanajuato","36001","11","36001",,"09","015","4428","Urbano","05"
"36030","La Venada","Colonia","Guanajuato","Guanajuato","Guanajuato","36001","11","36001",,"09","015","4430","Urbano","05"
"36040","Encino","Colonia","Guanajuato","Guanajuato","Guanajuato","36001","11","36001",,"09","015","4431","Urbano","05"
"36040","La Luz","Colonia","Guanajuato","Guanajuato","Guanajuato","36001","11","36001",,"09","015","5070","Urbano","05"
"36040","Pueblito de Rocha","Colonia","Guanajuato","Guanajuato","Guanajuato","36001","11","36001",,"09","015","0012","Urbano","05"
