"d_codigo","d_asenta","d_tipo_asenta","D_mnpio","d_estado","d_ciudad","d_CP","c_estado","c_oficina","c_CP","c_tipo_asenta","c_mnpio","id_asenta_cpcons","d_zona","c_cve_ciudad"
"42000","Centro","Colonia","Pachuca de Soto","Hidalgo","Pachuca de Soto","42001","13","42001",,"09","048","0001","Urbano","03"
"42004","La Granada","Colonia","Pachuca de Soto","Hidalgo","Pachuca de Soto","42001","13","42001",,"09","048","2258","Urbano","03"
"42008","Secretaria de Hacienda y Crédito Publico","Gran usuario","Pachuca de Soto","Hidalgo","Pachuca de Soto","42085","13","42085",,"22","048","0004","Urbano","03"
"42009","Palacio de Gobierno del Estado de Hidalgo","Gran usuario","Pachuca de Soto","Hidalgo","Pachuca de Soto","42001","13","42001",,"22","048","0005","Urbano","03"
"42010","El Atorón","Barrio","Pachuca de Soto","Hidalgo","Pachuca de Soto","42001","13","42001",,"02","048","0009","Urbano","03"
"42010","La Palma","Barrio","Pachuca de Soto","Hidalgo","Pachuca de Soto","42001","13","42001",,"02","048","0013","Urbano","03"
"42010","El Arbolito","Colonia","Pachuca de Soto","Hidalgo","Pachuca de Soto","42001","13","42001",,"09","048","0008","Urbano","03"
"42010","La Alcantarilla","Colonia","Pachuca de Soto","Hidalgo","Pachuca de Soto","42001","13","42001",,"09","048","0006","Urbano","03"
"42010","San Juan Pachuca","Colonia","Pachuca de Soto","Hidalgo","Pachuca de Soto","42001","13","42001",,"09","048","0016","Urbano","03"
"42014","Nueva Estrella","Colonia","Pachuca de Soto","Hidalgo","Pachuca de Soto","42001","13","42001",,"09","048","0018","Urbano","03"
"42015","El Porvenir","Colonia","Pachuca de Soto","Hidalgo","Pachuca de Soto","42001","13","42001",,"09","048","0021","Urbano","03"
"42015","Asta Bandera","Barrio","Pachuca de Soto","Hidalgo","Pachuca de Soto","42001","13","42001",,"02","048","0020","Urbano","03"
"42015","La Cruz","Colonia","Pachuca de Soto","Hidalgo","Pachuca de Soto","42001","13","42001",,"09","048","0022","Urbano","03"
"42018","Julian Carrillo","Colonia","Pachuca de Soto","Hidalgo","Pachuca de Soto","42001","13","42001",,"09","048","2266","Urbano","03"
"42018","San Nicolás","Colonia","Pachuca de Soto","Hidalgo","Pachuca de Soto","42001","13","42001",,"09","048","0024","Urbano","03"
"42018","La Españita","Colonia","Pachuca de Soto","Hidalgo","Pachuca de Soto","42001","13","42001",,"09","048","2268","Urbano","03"
"42020","José López Portillo","Colonia","Pachuca de Soto","Hidalgo","Pachuca de Soto","42001","13","42001",,"09","048","0028","Urbano","03"
"42020","Pachuca 88","Fraccionamiento","Pachuca de Soto","Hidalgo","Pachuca de Soto","42001","13","42001",,"21","048","0031","Urbano","03"
"42020","Cuauhtémoc","Colonia","Pachuca de Soto","Hidalgo","Pachuca de Soto","42001","13","42001",,"09","048","0026","Urbano","03"
"42020","Real de Medinas","Colonia","Pachuca de Soto","Hidalgo","Pachuca de Soto","42001","13","42001",,"09","048","0032","Urbano","03"
"42026","Lomas de Vista Hermosa","Colonia","Pachuca de Soto","Hidalgo","Pachuca de Soto","42001","13","42001",,"09","048","0033","Urbano","03"
"42027","Antonio del Castillo","Colonia","Pachuca de Soto","Hidalgo","Pachuca de Soto","42001","13","42001",,"09","048","0035","Urbano","03"
"42029","Unión Popular","Colonia","Pachuca de Soto","Hidalgo","Pachuca de Soto","42001","13","42001",,"09","048","0037","Urbano","03"
"42030","Venustiano Carranza","Colonia","Pachuca de Soto","Hidalgo","Pachuca de Soto","42001","13","42001",,"09","048","0042","Urbano","03"
"42030","El Carmen","Fraccionamiento","Pachuca de Soto","Hidalgo","Pachuca de Soto","42001","13","42001",,"21","048","0038","Urbano","03"
"42030","Ricardo Flores Magón","Colonia","Pachuca de Soto","Hidalgo","Pachuca de Soto","42001","13","42001",,"09","048","0039","Urbano","03"
"42030","Javier Rojo Gómez","Colonia","Pachuca de Soto","Hidalgo","Pachuca de Soto","42001","13","42001",,"09","048","0040","Urbano","03"
"42032","Parque de Poblamiento","Colonia","Pachuca de Soto","Hidalgo","Pachuca de Soto","42001","13","42001",,"09","048","0045","Urbano","03"
"42033","Los Cedros","Colonia","Pachuca de Soto","Hidalgo","Pachuca de Soto","42001","13","42001",,"09","048","0046","Urbano","03"
"42034","Aquiles Serdán","Colonia","Pachuca de Soto","Hidalgo","Pachuca de Soto","42001","13","42001",,"09","048","0047","Urbano","03"
"42035","Plutarco Elías Calles","Colonia","Pachuca de Soto","Hidalgo","Pachuca de Soto","42001","13","42001",,"09","048","0050","Urbano","03"
"42036","Nuevo Hidalgo","Colonia","Pachuca de Soto","Hidalgo","Pachuca de Soto","42001","13","42001",,"09","048","0051","Urbano","03"
"42037","Cereso Pachuca","Gran usuario","Pachuca de Soto","Hidalgo","Pachuca de Soto","42001","13","42001",,"22","048","0052","Urbano","03"
"42039","Campo de Tiro","Fraccionamiento","Pachuca de Soto","Hidalgo","Pachuca de Soto","42001","13","42001",,"21","048","0053","Urbano","03"
"42039","San Bartolo","Colonia","Pachuca de Soto","Hidalgo","Pachuca de Soto","42001","13","42001",,"09","048","0056","Urbano","03"
"42039","Rincón de las Lomas I","Fraccionamiento","Pachuca de Soto","Hidalgo","Pachuca de Soto","42001","13","42001",,"21","048","2361","Urbano","03"
"42039","Cruz del Cerrito","Barrio","Pachuca de Soto","Hidalgo","Pachuca de Soto","42001","13","42001",,"02","048","0054","Urbano","03"
"42039","Palestina","Colonia","Pachuca de Soto","Hidalgo","Pachuca de Soto","42001","13","42001",,"09","048","2235","Urbano","03"
"42039","Campo de Tiro II","Colonia","Pachuca de Soto","Hidalgo","Pachuca de Soto","42001","13","42001",,"09","048","2265","Urbano","03"
"42039","Ramos Arizpe","Colonia","Pachuca de Soto","Hidalgo","Pachuca de Soto","42001","13","42001",,"09","048","2351","Urbano","03"
"42039","Punta Azul","Fraccionamiento","Pachuca de Soto","Hidalgo","Pachuca de Soto","42001","13","42001",,"21","048","2358","Urbano","03"
"42039","Santa Cruz","Barrio","Pachuca de Soto","Hidalgo","Pachuca de Soto","42001","13","42001",,"02","048","0057","Urbano","03"
"42039","Colosio II","Fraccionamiento","Pachuca de Soto","Hidalgo","Pachuca de Soto","42001","13","42001",,"21","048","2341","Urbano","03"
"42039","Monte Carmelo","Fraccionamiento","Pachuca de Soto","Hidalgo","Pachuca de Soto","42001","13","42001",,"21","048","2347","Urbano","03"
"42039","20 de Noviembre","Colonia","Pachuca de Soto","Hidalgo","Pachuca de Soto","42001","13","42001",,"09","048","0072","Urbano","03"
