"d_codigo","d_asenta","d_tipo_asenta","D_mnpio","d_estado","d_ciudad","d_CP","c_estado","c_oficina","c_CP","c_tipo_asenta","c_mnpio","id_asenta_cpcons","d_zona","c_cve_ciudad"
"44008","ISSSTE","Gran usuario","Guadalajara","Jalisco","Guadalajara","44101","14","44101",,"22","039","0001","Urbano","03"
"44009","Palacio de Gobierno Del Estado de Jalisco","Gran usuario","Guadalajara","Jalisco","Guadalajara","44101","14","44101",,"22","039","0002","Urbano","03"
"44100","Guadalajara Centro","Colonia","Guadalajara","Jalisco","Guadalajara","44101","14","44101",,"09","039","0003","Urbano","03"
"44110","Vallarta Poniente","Fraccionamiento","Guadalajara","Jalisco","Guadalajara","44101","14","44101",,"21","039","0005","Urbano","03"
"44130","Arcos Vallarta","Colonia","Guadalajara","Jalisco","Guadalajara","45042","14","45042",,"09","039","0007","Urbano","03"
"44130","Los Arcos Sur","Fraccionamiento","Guadalajara","Jalisco","Guadalajara","45042","14","45042",,"21","039","0200","Urbano","03"
"44140","Obrera Centro","Colonia","Guadalajara","Jalisco","Guadalajara","44101","14","44101",,"09","039","0008","Urbano","03"
"44150","Barrera","Colonia","Guadalajara","Jalisco","Guadalajara","44101","14","44101",,"09","039","0010","Urbano","03"
"44150","Lafayette","Colonia","Guadalajara","Jalisco","Guadalajara","44101","14","44101",,"09","039","4188","Urbano","03"
"44158","Deitz","Colonia","Guadalajara","Jalisco","Guadalajara","44101","14","44101",,"09","039","0011","Urbano","03"
"44159","Reforma Centro","Colonia","Guadalajara","Jalisco","Guadalajara","44101","14","44101",,"09","039","0012","Urbano","03"
"44159","Reforma","Colonia","Guadalajara","Jalisco","Guadalajara","44101","14","44101",,"09","039","0140","Urbano","03"
"44160","Americana","Colonia","Guadalajara","Jalisco","Guadalajara","44101","14","44101",,"09","039","0013","Urbano","03"
"44170","San Antonio","Barrio","Guadalajara","Jalisco","Guadalajara","44101","14","44101",,"02","039","0014","Urbano","03"
"44180","Mexicaltzingo","Barrio","Guadalajara","Jalisco","Guadalajara","44101","14","44101",,"02","039","0016","Urbano","03"
"44190","Moderna","Colonia","Guadalajara","Jalisco","Guadalajara","44101","14","44101",,"09","039","0017","Urbano","03"
"44200","Jesús","Barrio","Guadalajara","Jalisco","Guadalajara","44101","14","44101",,"02","039","0021","Urbano","03"
"44200","El Santuario","Barrio","Guadalajara","Jalisco","Guadalajara","44101","14","44101",,"02","039","0020","Urbano","03"
"44200","Refugio","Barrio","Guadalajara","Jalisco","Guadalajara","44101","14","44101",,"02","039","0022","Urbano","03"
"44200","Sagrada Familia","Barrio","Guadalajara","Jalisco","Guadalajara","44101","14","44101",,"02","039","0023","Urbano","03"
"44200","Artesanos","Colonia","Guadalajara","Jalisco","Guadalajara","44101","14","44101",,"09","039","0019","Urbano","03"
"44210","Jardines Del Country","Fraccionamiento","Guadalajara","Jalisco","Guadalajara","44291","14","44291",,"21","039","0024","Urbano","03"
