"d_codigo","d_asenta","d_tipo_asenta","D_mnpio","d_estado","d_ciudad","d_CP","c_estado","c_oficina","c_CP","c_tipo_asenta","c_mnpio","id_asenta_cpcons","d_zona","c_cve_ciudad"
"50000","Centro","Colonia","Toluca","México","Toluca de Lerdo","50121","15","50121",,"09","106","0160","Urbano","20"
"50009","Palacio de Gobierno del Estado de México","Gran usuario","Toluca","México","Toluca de Lerdo","50121","15","50121",,"22","106","0162","Urbano","20"
"50010","La Magdalena","Colonia","Toluca","México","Toluca de Lerdo","50121","15","50121",,"09","106","0168","Rural","20"
"50010","El Tejocote","Colonia","Toluca","México","Toluca de Lerdo","50121","15","50121",,"09","106","5545","Rural","20"
"50010","Los Girasoles I","Fraccionamiento","Toluca","México","Toluca de Lerdo","50121","15","50121",,"21","106","7920","Urbano","20"
"50010","Club Jardín","Colonia","Toluca","México","Toluca de Lerdo","50121","15","50121",,"09","106","0164","Urbano","20"
"50010","La Cruz Comalco","Colonia","Toluca","México","Toluca de Lerdo","50121","15","50121",,"09","106","0166","Rural","20"
"50010","Los Girasoles","Fraccionamiento","Toluca","México","Toluca de Lerdo","50121","15","50121",,"21","106","0170","Urbano","20"
"50010","Celanese","Colonia","Toluca","México","Toluca de Lerdo","50121","15","50121",,"09","106","0163","Urbano","20"
"50010","Guadalupe","Colonia","Toluca","México","Toluca de Lerdo","50121","15","50121",,"09","106","0165","Urbano","20"
"50010","Los Girasoles III","Fraccionamiento","Toluca","México","Toluca de Lerdo","50121","15","50121",,"21","106","0172","Urbano","20"
"50010","Universidad","Colonia","Toluca","México","Toluca de Lerdo","50121","15","50121",,"09","106","0178","Urbano","20"
"50010","Galaxias de San Lorenzo","Fraccionamiento","Toluca","México","Toluca de Lerdo","50121","15","50121",,"21","106","5542","Rural","20"
"50010","Los Girasoles II","Fraccionamiento","Toluca","México","Toluca de Lerdo","50121","15","50121",,"21","106","0171","Urbano","20"
"50010","Los Girasoles IV","Fraccionamiento","Toluca","México","Toluca de Lerdo","50121","15","50121",,"21","106","0173","Urbano","20"
"50010","San Lorenzo Tepaltitlán","Pueblo","Toluca","México","Toluca de Lerdo","50121","15","50121",,"28","106","0176","Urbano","20"
"50010","Tlacopa","Barrio","Toluca","México","Toluca de Lerdo","50121","15","50121",,"02","106","0177","Urbano","20"
"50010","El Balcón","Colonia","Toluca","México","Toluca de Lerdo","50121","15","50121",,"09","106","5546","Rural","20"
"50010","San Angelin","Barrio","Toluca","México","Toluca de Lerdo","50121","15","50121",,"02","106","5121","Urbano","20"
"50016","Jardines de la Crespa","Unidad habitacional","Toluca","México","Toluca de Lerdo","50121","15","50121",,"31","106","0180","Urbano","20"
"50016","San Antonio","Parque industrial","Toluca","México","Toluca de Lerdo","50121","15","50121",,"26","106","6554","Urbano","20"
"50017","Las Brisas","Fraccionamiento","Toluca","México","Toluca de Lerdo","50121","15","50121",,"21","106","0184","Rural","20"
"50017","Rincón de San Lorenzo","Colonia","Toluca","México","Toluca de Lerdo","50121","15","50121",,"09","106","0186","Urbano","20"
"50018","Residencial Las Flores","Fraccionamiento","Toluca","México","Toluca de Lerdo","50121","15","50121",,"21","106","0188","Urbano","20"
"50019","San Rafael","Colonia","Toluca","México","Toluca de Lerdo","50121","15","50121",,"09","106","0189","Rural","20"
"50020","Bosques de la Mora","Fraccionamiento","Toluca","México","Toluca de Lerdo","50121","15","50121",,"21","106","0191","Urbano","20"
"50020","Santiago Miltepec","Pueblo","Toluca","México","Toluca de Lerdo","50121","15","50121",,"28","106","0199","Urbano","20"
"50020","Rancho la Mora","Colonia","Toluca","México","Toluca de Lerdo","50121","15","50121",,"09","106","0195","Urbano","20"
"50020","3 Caminos","Colonia","Toluca","México","Toluca de Lerdo","50121","15","50121",,"09","106","0201","Urbano","20"
"50020","Valle de Santiago Residencial","Fraccionamiento","Toluca","México","Toluca de Lerdo","50121","15","50121",,"21","106","0203","Urbano","20"
"50020","Rinconada de la Mora","Fraccionamiento","Toluca","México","Toluca de Lerdo","50121","15","50121",,"21","106","0197","Urbano","20"
"50020","Los Ángeles","Colonia","Toluca","México","Toluca de Lerdo","50121","15","50121",,"09","106","0193","Urbano","20"
"50020","Los Frailes","Fraccionamiento","Toluca","México","Toluca de Lerdo","50121","15","50121",,"21","106","0194","Urbano","20"
"50026","Carlos Hank González","Colonia","Toluca","México","Toluca de Lerdo","50121","15","50121",,"09","106","0207","Urbano","20"
"50039","La Vega","Fraccionamiento","Toluca","México","Toluca de Lerdo","50121","15","50121",,"21","106","0210","Rural","20"
"50040","Sor Juana Inés de la Cruz","Colonia","Toluca","México","Toluca de Lerdo","50121","15","50121",,"09","106","0223","Urbano","20"
"50040","Electricistas Locales","Colonia","Toluca","México","Toluca de Lerdo","50121","15","50121",,"09","106","5700","Urbano","20"
"50040","San Luis Obispo","Barrio","Toluca","México","Toluca de Lerdo","50121","15","50121",,"02","106","0219","Urbano","20"
"50040","Unión","Colonia","Toluca","México","Toluca de Lerdo","50121","15","50121",,"09","106","0218","Urbano","20"
