"d_codigo","d_asenta","d_tipo_asenta","D_mnpio","d_estado","d_ciudad","d_CP","c_estado","c_oficina","c_CP","c_tipo_asenta","c_mnpio","id_asenta_cpcons","d_zona","c_cve_ciudad"
"58000","Morelia Centro","Colonia","Morelia","Michoacán","Morelia","58011","16","58011",,"09","053","0002","Urbano","06"
"58000","El Pipila Infonavit","Unidad habitacional","Morelia","Michoacán","Morelia","58011","16","58011",,"31","053","0001","Urbano","06"
"58000","Plan de Ayala Infonavit","Unidad habitacional","Morelia","Michoacán","Morelia","58011","16","58011",,"31","053","0003","Urbano","06"
"58002","Oficina Federal de Hacienda","Gran usuario","Morelia","Michoacán","Morelia","58011","16","58011",,"22","053","0005","Urbano","06"
"58003","Archivo General Del Gobierno Del Estado de Michoacán","Gran usuario","Morelia","Michoacán","Morelia","58011","16","58011",,"22","053","0006","Urbano","06"
"58004","Universidad Michoacana de San Nicolás de Hidalgo","Gran usuario","Morelia","Michoacán","Morelia","58011","16","58011",,"22","053","0007","Urbano","06"
"58006","Secretaria de Salud","Gran usuario","Morelia","Michoacán","Morelia","58011","16","58011",,"22","053","0008","Urbano","06"
"58007","Secretaria de La Reforma Agraria","Gran usuario","Morelia","Michoacán","Morelia","58011","16","58011",,"22","053","0009","Urbano","06"
"58009","Palacio de Gobierno Del Estado de Michoacán","Gran usuario","Morelia","Michoacán","Morelia","58011","16","58011",,"22","053","0011","Urbano","06"
"58010","Juárez","Colonia","Morelia","Michoacán","Morelia","58011","16","58011",,"09","053","0012","Urbano","06"
"58010","Molino de Parras","Colonia","Morelia","Michoacán","Morelia","58011","16","58011",,"09","053","0013","Urbano","06"
"58012","Departamento de Prevención y Readaptación Social","Gran usuario","Morelia","Michoacán","Morelia","58011","16","58011",,"22","053","0015","Urbano","06"
"58013","Supremo Tribunal de Justicia","Gran usuario","Morelia","Michoacán","Morelia","58011","16","58011",,"22","053","0016","Urbano","06"
"58020","Ventura Puente","Colonia","Morelia","Michoacán","Morelia","58011","16","58011",,"09","053","0018","Urbano","06"
"58020","Cuauhtémoc","Colonia","Morelia","Michoacán","Morelia","58011","16","58011",,"09","053","0017","Urbano","06"
"58030","Morelos","Colonia","Morelia","Michoacán","Morelia","58011","16","58011",,"09","053","0019","Urbano","06"
"58040","Gustavo Diaz Ordaz","Colonia","Morelia","Michoacán","Morelia","58011","16","58011",,"09","053","0023","Urbano","06"
