"d_codigo","d_asenta","d_tipo_asenta","D_mnpio","d_estado","d_ciudad","d_CP","c_estado","c_oficina","c_CP","c_tipo_asenta","c_mnpio","id_asenta_cpcons","d_zona","c_cve_ciudad"
"64000","Monterrey Centro","Colonia","Monterrey","Nuevo León","Monterrey","64008","19","64008",,"09","039","0001","Urbano","07"
"64000","La Finca","Colonia","Monterrey","Nuevo León","Monterrey","64008","19","64008",,"09","039","3429","Urbano","07"
"64004","Amway","Gran usuario","Monterrey","Nuevo León","Monterrey","64008","19","64008",,"22","039","0005","Urbano","07"
"64006","Consulado General de los Estados Unidos de Norteamérica","Gran usuario","Monterrey","Nuevo León","Monterrey","64008","19","64008",,"22","039","0007","Urbano","07"
"64007","Secretaria de Hacienda y Crédito Publico","Gran usuario","Monterrey","Nuevo León","Monterrey","64008","19","64008",,"22","039","0008","Urbano","07"
"64009","Palacio de Gobierno Del Estado de Nuevo Leon","Gran usuario","Monterrey","Nuevo León","Monterrey","64008","19","64008",,"22","039","0010","Urbano","07"
"64010","Obrera","Colonia","Monterrey","Nuevo León","Monterrey","64008","19","64008",,"09","039","0011","Urbano","07"
"64018","Desarrollo Urbano Reforma","Colonia","Monterrey","Nuevo León","Monterrey","64008","19","64008",,"09","039","0012","Urbano","07"
"64019","Condominios Constitución","Colonia","Monterrey","Nuevo León","Monterrey","64008","19","64008",,"09","039","0013","Urbano","07"
"64020","Mitras Sur","Colonia","Monterrey","Nuevo León","Monterrey","64008","19","64008",,"09","039","0015","Urbano","07"
"64020","Gonzalitos","Colonia","Monterrey","Nuevo León","Monterrey","64008","19","64008",,"09","039","0014","Urbano","07"
"64030","Chepevera","Colonia","Monterrey","Nuevo León","Monterrey","64008","19","64008",,"09","039","0016","Urbano","07"
"64030","Lomas","Colonia","Monterrey","Nuevo León","Monterrey","64008","19","64008",,"09","039","0017","Urbano","07"
"64040","Deportivo Obispado","Colonia","Monterrey","Nuevo León","Monterrey","64008","19","64008",,"09","039","0018","Urbano","07"
"64040","Maria Luisa","Colonia","Monterrey","Nuevo León","Monterrey","64008","19","64008",,"09","039","0019","Urbano","07"
"64049","Exseminario","Colonia","Monterrey","Nuevo León","Monterrey","64008","19","64008",,"09","039","0020","Urbano","07"
"64050","Jardines Del Cerro","Colonia","Monterrey","Nuevo León","Monterrey","64008","19","64008",,"09","039","0022","Urbano","07"
"64050","Jardín","Colonia","Monterrey","Nuevo León","Monterrey","64008","19","64008",,"09","039","0021","Urbano","07"
"64060","Obispado","Colonia","Monterrey","Nuevo León","Monterrey","64008","19","64008",,"09","039","0023","Urbano","07"
"64070","El Mirador Centro","Colonia","Monterrey","Nuevo León","Monterrey","64008","19","64008",,"09","039","0024","Urbano","07"
"64100","Chapultepec","Barrio","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"02","039","3061","Urbano","07"
"64100","Privadas de Lincoln","Fraccionamiento","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"21","039","3462","Urbano","07"
"64100","San Bernabe","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","0026","Urbano","07"
"64100","Ciudad Solidaridad","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","0025","Urbano","07"
"64100","San Bernabe Sect 1","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","0027","Urbano","07"
"64100","San Carlos","Barrio","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"02","039","3066","Urbano","07"
"64100","Mirasol","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3039","Urbano","07"
"64102","Barrio Chapultepec","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","2573","Urbano","07"
"64102","Solidaridad Barrio Del Centro","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","2609","Urbano","07"
"64102","Jardines del Rey","Fraccionamiento","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"21","039","3988","Urbano","07"
"64102","Urbivilla Bonita","Fraccionamiento","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"21","039","3737","Urbano","07"
"64102","Solidaridad Barrio Mirasol 1er Sector","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","2572","Urbano","07"
"64102","Solidaridad Barrio Moderna","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","2576","Urbano","07"
"64102","Las Plazas","Fraccionamiento","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"21","039","3931","Urbano","07"
"64102","Solidaridad Barrio Puesta Del Sol","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","2579","Urbano","07"
"64102","Barrio del Prado","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","2602","Urbano","07"
"64102","Barrio Margaritas 1 Sector 1 Etapa","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","2607","Urbano","07"
"64102","Arcos Del Sol","Fraccionamiento","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"21","039","3656","Urbano","07"
"64102","Barrio Mirasol 2o Sector","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","2574","Urbano","07"
"64102","Solidaridad Barrio Aztlán","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","2575","Urbano","07"
"64102","Solidaridad Barrio San Luis","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","2606","Urbano","07"
"64102","Solidaridad Barrio San Pedro","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","2608","Urbano","07"
"64102","Solidaridad Barrio San Carlos","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","2610","Urbano","07"
"64102","Solidaridad Barrio Estrella","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","2611","Urbano","07"
"64102","Urbivilla del Cedro","Fraccionamiento","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"21","039","3990","Urbano","07"
"64102","Solidaridad Barrio Nuevo","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","2578","Urbano","07"
"64102","Solidaridad Barrio Acero","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","2603","Urbano","07"
"64102","Barrio Alameda","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","2604","Urbano","07"
"64102","Barrio Santa Isabel","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","2605","Urbano","07"
"64102","Solidaridad Barrio Guadalupe","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","2612","Urbano","07"
"64102","Arcos Elite","Fraccionamiento","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"21","039","3649","Urbano","07"
"64102","Encinos","Fraccionamiento","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"21","039","3658","Urbano","07"
"64102","Villas de San Bernabe","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3659","Urbano","07"
"64102","Urbivilla Del Rey","Fraccionamiento","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"21","039","3786","Urbano","07"
"64102","Estrella Sector Elite","Fraccionamiento","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"21","039","3932","Urbano","07"
"64102","Solidaridad Barrio Polígono Poniente Ind.","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","2600","Urbano","07"
"64102","Barrio del Parque","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","2601","Urbano","07"
"64102","Palomas","Fraccionamiento","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"21","039","3657","Urbano","07"
"64102","Las Estaciones","Fraccionamiento","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"21","039","4079","Urbano","07"
"64102","Solidaridad Barrio Mirasol 3er Sector","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","2577","Urbano","07"
"64103","Fray Servando Teresa de Mier","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3493","Urbano","07"
"64103","Juan de La Barrera","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3501","Urbano","07"
"64103","Trazo Barrón","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3509","Urbano","07"
"64103","Portales de los Valles de S B","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3516","Urbano","07"
"64103","San Gabriel","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3836","Urbano","07"
"64103","Hermenegildo Galeana","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3480","Urbano","07"
"64103","Miguel Aleman","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3481","Urbano","07"
"64103","Jose Maria Pino Suárez","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3483","Urbano","07"
"64103","Hector Espino","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3489","Urbano","07"
"64103","Santa Ana","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3504","Urbano","07"
"64103","Valle de La Esperanza","Fraccionamiento","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"21","039","3835","Urbano","07"
"64103","Aniceto Corpus II","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3381","Urbano","07"
"64103","Ignacio Manuel Altamirano","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3484","Urbano","07"
"64103","Rómulo Lozano Morales","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3492","Urbano","07"
"64103","Lorenzo Garza","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3494","Urbano","07"
"64103","Martin de Zavala","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3495","Urbano","07"
"64103","Las Torres","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3513","Urbano","07"
"64103","Trazo Rosario","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3515","Urbano","07"
"64103","Los Nogales II","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3518","Urbano","07"
"64103","Jose Maria Maldonado","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3669","Urbano","07"
"64103","Urbivilla Colonial","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","4098","Urbano","07"
"64103","Trazo Marcelina","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","4328","Urbano","07"
"64103","San David I","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3378","Urbano","07"
"64103","Las Fuentes","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3383","Urbano","07"
"64103","Jose Maria Morelos","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3482","Urbano","07"
"64103","Prof. Moisés Sáenz","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3487","Urbano","07"
"64103","Diego de Montemayor","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3490","Urbano","07"
"64103","Valle de San Bernabe III","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3505","Urbano","07"
"64103","El Palmar","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3512","Urbano","07"
"64103","El Rosario","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3769","Urbano","07"
"64103","San Bernabe","Ejido","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"15","039","3837","Urbano","07"
"64103","Cerrada Del Poniente","Fraccionamiento","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"21","039","3975","Urbano","07"
"64103","Venustiano Carranza","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3476","Urbano","07"
"64103","Josefa Ortiz de Dominguez","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3477","Urbano","07"
"64103","Cuauhtémoc","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3478","Urbano","07"
"64103","Prof. Pedro Ordoñez","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3488","Urbano","07"
"64103","Juan Escutia","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3491","Urbano","07"
"64103","Jerónimo Treviño","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3496","Urbano","07"
"64103","Alfonso Reyes","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3497","Urbano","07"
"64103","Vicente Suárez","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3500","Urbano","07"
"64103","San Pedro","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3508","Urbano","07"
"64103","Mitras Poniente","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3150","Urbano","07"
"64103","Madero","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3485","Urbano","07"
"64103","Aniceto Corpus I","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3380","Urbano","07"
"64103","Eugenio Garza Sada","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3479","Urbano","07"
"64103","Prof. Miguel Ramos Arizpe","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3486","Urbano","07"
"64103","Fernando Montes de Oca","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3498","Urbano","07"
"64103","Trazo Marco","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3502","Urbano","07"
"64103","Los Nogales I","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3517","Urbano","07"
"64103","Arboledas de San Bernabe","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3989","Urbano","07"
"64103","San Rodolfo I","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3388","Urbano","07"
"64103","Agustin Melgar","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3499","Urbano","07"
"64103","Trazo Mao","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3503","Urbano","07"
"64103","Valle de San Bernabe I","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3506","Urbano","07"
"64103","Arboledas de Escobedo","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3507","Urbano","07"
"64103","San Antonio","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3510","Urbano","07"
"64103","Los Nogales III","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3514","Urbano","07"
"64103","San Isidro","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3519","Urbano","07"
"64103","Los Angeles","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3648","Urbano","07"
"64104","Fomerrey 121","Unidad habitacional","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"31","039","0029","Urbano","07"
"64104","San Bernabé III","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","0032","Urbano","07"
"64104","San Bernabé II (Fomerrey 120)","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","0031","Urbano","07"
"64104","San Bernabé IV (Fomerrey 124)","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","0033","Urbano","07"
"64105","Villa Bonita","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3573","Urbano","07"
"64105","Fomerrey 114","Unidad habitacional","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"31","039","0036","Urbano","07"
"64105","San Bernabé XII (Fomerrey 115)","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","0041","Urbano","07"
"64105","San Bernabé X (Fomerrey 113)","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","0039","Urbano","07"
"64105","San Bernabe IX  (Fomerrey 112)","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","0038","Urbano","07"
"64106","San Bernabé XV (Fomerrey 119)","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","0047","Urbano","07"
"64106","San Bernabé XIV (Fomerrey 109)","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","0046","Urbano","07"
"64106","San Bernabé XIII (Fomerrey 116)","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","0045","Urbano","07"
"64106","Fomerrey 110","Unidad habitacional","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"31","039","0043","Urbano","07"
"64107","Colina de San Bernabé (Fomerrey 25)","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","0048","Urbano","07"
"64108","San Bernabe","Ejido","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"15","039","0051","Urbano","07"
"64108","Plutarco Elias Calles","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","0050","Urbano","07"
"64109","San Bernabe Unidad","Unidad habitacional","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"31","039","0054","Urbano","07"
"64109","3 de Febrero","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","0055","Urbano","07"
"64109","San Bernabé (Fomerrey 51)","Unidad habitacional","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"31","039","0052","Urbano","07"
"64109","San Bernabé (Fomerrey 105)","Unidad habitacional","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"31","039","0053","Urbano","07"
"64110","Madre Selva","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","0056","Urbano","07"
"64110","Misión Lincoln 1 Sector","Residencial","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"30","039","3203","Urbano","07"
"64115","Riveras Lincoln","Colonia","Monterrey","Nuevo León","Monterrey","64361","19","64361",,"09","039","0057","Urbano","07"
"64116","Villa Cumbres","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","0059","Urbano","07"
"64116","Lomas de Cumbres","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","0058","Urbano","07"
"64116","Cumbre Alta","Fraccionamiento","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"21","039","4007","Urbano","07"
"64117","Colinas de Valle Verde","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","0060","Urbano","07"
"64117","Balcones de las Mitras","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3748","Urbano","07"
"64117","Valle Verde 2o Sect","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","0061","Urbano","07"
"64117","Valle Verde Infonavit","Unidad habitacional","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"31","039","0062","Urbano","07"
"64118","Paseo de las Mitras","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","0063","Urbano","07"
"64119","Fidel Velázquez","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","0064","Urbano","07"
"64120","Loma Linda","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","0065","Urbano","07"
"64130","Villa Alegre","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","0066","Urbano","07"
"64140","Lomas Modelo","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","0067","Urbano","07"
"64140","Unidad Modelo","Unidad habitacional","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"31","039","0068","Urbano","07"
"64140","Valle de Santa Lucia","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","3054","Urbano","07"
"64145","Paso Del Águila","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","0069","Urbano","07"
"64148","Genaro Rojas Vázquez","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","0070","Urbano","07"
"64150","Álvaro Obregón","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","0071","Urbano","07"
"64150","Santa Cecilia","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","0072","Urbano","07"
"64150","Villa Santa Cecilia","Colonia","Monterrey","Nuevo León","Monterrey","64321","19","64321",,"09","039","0073","Urbano","07"
