"d_codigo","d_asenta","d_tipo_asenta","D_mnpio","d_estado","d_ciudad","d_CP","c_estado","c_oficina","c_CP","c_tipo_asenta","c_mnpio","id_asenta_cpcons","d_zona","c_cve_ciudad"
"68000","Oaxaca Centro","Colonia","Oaxaca","Oaxaca","Oaxaca (Oaxaca de Juárez)","68005","20","68005",,"09","067","0001","Urbano","02"
"68008","Secretaria de La Reforma Agraria","Gran usuario","Oaxaca","Oaxaca","Oaxaca (Oaxaca de Juárez)","68005","20","68005",,"22","067","0005","Urbano","02"
"68009","Palacio de Gobierno Del Estado de Oaxaca","Gran usuario","Oaxaca","Oaxaca","Oaxaca (Oaxaca de Juárez)","68005","20","68005",,"22","067","0006","Urbano","02"
"68010","Bugambilias","Colonia","Oaxaca","Oaxaca","Oaxaca (Oaxaca de Juárez)","68005","20","68005",,"09","067","0007","Urbano","02"
"68010","Paraiso","Colonia","Oaxaca","Oaxaca","Oaxaca (Oaxaca de Juárez)","68005","20","68005",,"09","067","0017","Urbano","02"
"68010","Lomas  San Jacinto 1a,2a,3a,4a,5a,6a,7a, y 8a Secc","Colonia","Oaxaca","Oaxaca","Oaxaca (Oaxaca de Juárez)","68005","20","68005",,"09","067","0960","Rural","02"
"68010","Ex Hacienda Santa Rosa 1a y 2a Sección","Colonia","Oaxaca","Oaxaca","Oaxaca (Oaxaca de Juárez)","68005","20","68005",,"09","067","1013","Rural","02"
"68010","Ejidal","Colonia","Oaxaca","Oaxaca","Oaxaca (Oaxaca de Juárez)","68005","20","68005",,"09","067","3944","Urbano","02"
"68010","19 de Abril","Colonia","Oaxaca","Oaxaca","Oaxaca (Oaxaca de Juárez)","68005","20","68005",,"09","067","4046","Urbano","02"
"68010","Lomas Panoramicas","Colonia","Oaxaca","Oaxaca","Oaxaca (Oaxaca de Juárez)","68005","20","68005",,"09","067","1152","Rural","02"
