"d_codigo","d_asenta","d_tipo_asenta","D_mnpio","d_estado","d_ciudad","d_CP","c_estado","c_oficina","c_CP","c_tipo_asenta","c_mnpio","id_asenta_cpcons","d_zona","c_cve_ciudad"
"72000","San Francisco","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","2819","Urbano","03"
"72000","Puebla Centro","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","0001","Urbano","03"
"72007","Laboratorios Mayov de México S.A.","Gran usuario","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"22","114","0007","Urbano","03"
"72008","Planta Volkswagen de México S.A. de CV","Gran usuario","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"22","114","0009","Rural","03"
"72009","Palacio de Gobierno del Estado de Puebla","Gran usuario","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"22","114","0010","Urbano","03"
"72010","Bosques 5 de Febrero INFONAVIT","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","0524","Urbano","03"
"72010","Santa María la Ribera","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","0011","Urbano","03"
"72010","Residencial Santa María","Unidad habitacional","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"31","114","2861","Urbano","03"
"72013","Santa Bárbara","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","0666","Urbano","03"
"72013","Las Huertas","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","0012","Urbano","03"
"72014","Barranca Honda","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","0520","Urbano","03"
"72014","San José los Cerritos","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","0661","Urbano","03"
"72014","Predio Deportivo","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","3000","Urbano","03"
"72014","Nueva 13 de Abril","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","3752","Urbano","03"
"72014","Fidel Velázquez INFONAVIT","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","2742","Urbano","03"
"72014","Ignacio Mariscal","Ampliacion","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"38","114","0572","Urbano","03"
"72014","Guadalupe del Oro","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","2743","Urbano","03"
"72014","San Pablo Xochimehuacan","Pueblo","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"28","114","0488","Urbano","03"
"72014","Benito Juárez","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","0523","Urbano","03"
"72014","Miravalle","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","0620","Urbano","03"
"72014","El Conde","Unidad habitacional","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"31","114","5791","Urbano","03"
"72014","Rosas del Tepeyac","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","0013","Urbano","03"
"72014","Polideportivo","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","0634","Urbano","03"
"72015","La Candelaria","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","0014","Urbano","03"
"72016","Villa Frontera INFONAVIT","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","2735","Urbano","03"
"72016","Monte Alban","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","3753","Urbano","03"
"72016","San José del Conde","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","0659","Urbano","03"
"72016","Unidad Habitacional Villa Grande","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","3009","Urbano","03"
"72016","Villas del Marques","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","0683","Urbano","03"
"72016","Conjunto Emperatriz","Unidad habitacional","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"31","114","3813","Urbano","03"
"72016","Solidaridad Nacional I","Condominio","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"10","114","0693","Urbano","03"
"72016","Seda Monsanto","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","3005","Urbano","03"
"72016","Real de Guadalupe","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","0641","Urbano","03"
"72016","Solidaridad Nacional","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","2744","Urbano","03"
"72016","Potrero de María","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","2987","Urbano","03"
"72016","Guadalupe Conde","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","3759","Urbano","03"
"72016","Villa de Guadalupe","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","3741","Urbano","03"
"72016","Prof. Jorge Murad M","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","0581","Urbano","03"
"72016","Hacienda Monsanto","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","2745","Urbano","03"
"72016","Seda Monsanto","Ampliacion","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"38","114","2746","Urbano","03"
"72016","Villa Margarita Garcia","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","3561","Urbano","03"
"72016","Nuevo Paraíso","Fraccionamiento","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"21","114","3796","Urbano","03"
"72017","Venustiano Carranza","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","0680","Urbano","03"
"72017","Nueva España","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","2747","Urbano","03"
"72017","Portanova","Fraccionamiento","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"21","114","5861","Urbano","03"
"72017","México 83","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","0615","Urbano","03"
"72017","Nueva San Salvador","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","0585","Urbano","03"
"72017","Villa Diamante","Fraccionamiento","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"21","114","3812","Urbano","03"
"72017","Las Sonatas","Fraccionamiento","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"21","114","3750","Urbano","03"
"72018","Lomas San Felipe Hueyotlipan","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","0015","Urbano","03"
"72019","Parque Industrial 5 de Mayo","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","0017","Urbano","03"
"72019","Central de Abastos","Zona comercial","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"33","114","3539","Urbano","03"
"72019","Industrial el Conde","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","0016","Urbano","03"
"72020","Pino Suárez","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","0019","Urbano","03"
"72020","El Riego Sur","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","0644","Urbano","03"
"72020","San José 4 Caminos","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","0020","Urbano","03"
"72020","San Rafael Oriente","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","2748","Urbano","03"
"72020","Francisco Villa","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","0018","Urbano","03"
"72020","San Jerónimo","Unidad habitacional","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"31","114","0656","Urbano","03"
"72029","San Rafael I","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","0021","Urbano","03"
"72030","Hornito","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","0571","Urbano","03"
"72030","San Felipe Hueyotlipan","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","0022","Urbano","03"
"72030","Xometlalco","Conjunto habitacional","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"12","114","0701","Urbano","03"
"72034","Ejidal San Felipe","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","0023","Urbano","03"
"72040","Rancho Colorado","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","0025","Urbano","03"
"72040","Valle del Ángel","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","0026","Urbano","03"
"72040","Rincón Dorado","Fraccionamiento","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"21","114","2863","Urbano","03"
"72040","La Pedrera","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","0586","Urbano","03"
"72040","Campestre Rancho Colorado","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","2749","Urbano","03"
"72040","Residencial del Valle","Fraccionamiento","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"21","114","2862","Urbano","03"
"72040","Jesús Gonzalez Ortega","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","0024","Urbano","03"
"72044","Aurora","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","0516","Urbano","03"
"72044","Rincón San Bernardo","Fraccionamiento","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"21","114","0646","Urbano","03"
"72044","San Bernardo","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","0650","Urbano","03"
"72044","Jorge Murad Macluf","Colonia","Puebla","Puebla","Puebla (Heroica Puebla)","72001","21","72001",,"09","114","2736","Urbano","03"
