"d_codigo","d_asenta","d_tipo_asenta","D_mnpio","d_estado","d_ciudad","d_CP","c_estado","c_oficina","c_CP","c_tipo_asenta","c_mnpio","id_asenta_cpcons","d_zona","c_cve_ciudad"
"76000","Centro","Colonia","Querétaro","Querétaro","Querétaro","76021","22","76021",,"09","014","0001","Urbano","01"
"76005","Rinconada Morelos","Unidad habitacional","Querétaro","Querétaro","Querétaro","76021","22","76021",,"31","014","1683","Urbano","01"
"76005","Vicente Guerrero","Unidad habitacional","Querétaro","Querétaro","Querétaro","76021","22","76021",,"31","014","1682","Urbano","01"
"76005","Mariano Escobedo","Unidad habitacional","Querétaro","Querétaro","Querétaro","76021","22","76021",,"31","014","1681","Urbano","01"
"76005","Rincón de San Andrés","Fraccionamiento","Querétaro","Querétaro","Querétaro","76021","22","76021",,"21","014","1199","Urbano","01"
"76006","Querétaro (Ing. Fernando Espinoza Gtz.)","Aeropuerto","Querétaro","Querétaro","Querétaro","76141","22","76141",,"01","014","0006","Urbano","01"
"76007","Secretaria de Hacienda y Crédito Publico","Gran usuario","Querétaro","Querétaro","Querétaro","76021","22","76021",,"22","014","0007","Urbano","01"
"76008","Centro Sct Querétaro","Gran usuario","Querétaro","Querétaro","Querétaro","76021","22","76021",,"22","014","0008","Urbano","01"
"76009","Palacio de Gobierno del Estado de Querétaro","Gran usuario","Querétaro","Querétaro","Querétaro","76021","22","76021",,"22","014","0009","Urbano","01"
"76010","Las Campanas","Colonia","Querétaro","Querétaro","Querétaro","76021","22","76021",,"09","014","0010","Urbano","01"
"76010","Niños Héroes","Colonia","Querétaro","Querétaro","Querétaro","76021","22","76021",,"09","014","0011","Urbano","01"
"76017","Centro Universitario (U.A.Q.)","Gran usuario","Querétaro","Querétaro","Querétaro","76021","22","76021",,"22","014","0013","Urbano","01"
"76020","Pathé","Colonia","Querétaro","Querétaro","Querétaro","76021","22","76021",,"09","014","0022","Urbano","01"
"76020","La Cruz","Barrio","Querétaro","Querétaro","Querétaro","76021","22","76021",,"02","014","0021","Urbano","01"
"76020","Bosques del Acueducto","Colonia","Querétaro","Querétaro","Querétaro","76021","22","76021",,"09","014","0016","Urbano","01"
"76020","Calesa","Colonia","Querétaro","Querétaro","Querétaro","76021","22","76021",,"09","014","0017","Urbano","01"
"76020","El Cortijo","Colonia","Querétaro","Querétaro","Querétaro","76021","22","76021",,"09","014","0019","Urbano","01"
"76020","San Javier","Colonia","Querétaro","Querétaro","Querétaro","76021","22","76021",,"09","014","0023","Urbano","01"
"76020","Diligencias","Colonia","Querétaro","Querétaro","Querétaro","76021","22","76021",,"09","014","0018","Urbano","01"
"76020","Jardines de Querétaro","Colonia","Querétaro","Querétaro","Querétaro","76021","22","76021",,"09","014","0020","Urbano","01"
"76024","La Peñita","Fraccionamiento","Querétaro","Querétaro","Querétaro","76021","22","76021",,"21","014","0809","Urbano","01"
"76024","Villa Los Arcos","Fraccionamiento","Querétaro","Querétaro","Querétaro","76021","22","76021",,"21","014","0813","Urbano","01"
"76024","Calesa 2a Sección","Fraccionamiento","Querétaro","Querétaro","Querétaro","76021","22","76021",,"21","014","0810","Urbano","01"
"76024","Conjunto Seminario","Fraccionamiento","Querétaro","Querétaro","Querétaro","76021","22","76021",,"21","014","0815","Urbano","01"
"76024","Karina","Colonia","Querétaro","Querétaro","Querétaro","76021","22","76021",,"09","014","0807","Urbano","01"
"76024","El Oasis","Fraccionamiento","Querétaro","Querétaro","Querétaro","76021","22","76021",,"21","014","0812","Urbano","01"
"76024","Del Río","Fraccionamiento","Querétaro","Querétaro","Querétaro","76021","22","76021",,"21","014","1028","Urbano","01"
"76024","El Cortijo","Fraccionamiento","Querétaro","Querétaro","Querétaro","76021","22","76021",,"21","014","0811","Urbano","01"
"76024","El Cortijo II","Fraccionamiento","Querétaro","Querétaro","Querétaro","76021","22","76021",,"21","014","0814","Urbano","01"
"76025","La Pastora","Colonia","Querétaro","Querétaro","Querétaro","76021","22","76021",,"09","014","0025","Urbano","01"
"76026","La Cruz","Fraccionamiento","Querétaro","Querétaro","Querétaro","76021","22","76021",,"21","014","0808","Urbano","01"
"76026","Acueducto","Colonia","Querétaro","Querétaro","Querétaro","76021","22","76021",,"09","014","0026","Urbano","01"
"76026","Goyeneche","Fraccionamiento","Querétaro","Querétaro","Querétaro","76021","22","76021",,"21","014","0817","Urbano","01"
"76027","San José Inn","Colonia","Querétaro","Querétaro","Querétaro","76021","22","76021",,"09","014","0027","Urbano","01"
"76027","Arboledas del Río","Fraccionamiento","Querétaro","Querétaro","Querétaro","76021","22","76021",,"21","014","0818","Urbano","01"
"76028","Universidad","Colonia","Querétaro","Querétaro","Querétaro","76021","22","76021",,"09","014","0028","Urbano","01"
"76029","Jacarandas","Colonia","Querétaro","Querétaro","Querétaro","76021","22","76021",,"09","014","0029","Urbano","01"
"76030","Casa Blanca","Colonia","Querétaro","Querétaro","Querétaro","76021","22","76021",,"09","014","0030","Urbano","01"
"76030","Las Fuentes","Colonia","Querétaro","Querétaro","Querétaro","76021","22","76021",,"09","014","0034","Urbano","01"
"76030","El Prado","Colonia","Querétaro","Querétaro","Querétaro","76021","22","76021",,"09","014","0041","Semiurbano","01"
"76030","Cimatario","Colonia","Querétaro","Querétaro","Querétaro","76021","22","76021",,"09","014","0031","Urbano","01"
"76030","Estrella","Colonia","Querétaro","Querétaro","Querétaro","76021","22","76021",,"09","014","0033","Urbano","01"
"76030","San Angel","Colonia","Querétaro","Querétaro","Querétaro","76021","22","76021",,"09","014","0037","Urbano","01"
