"d_codigo","d_asenta","d_tipo_asenta","D_mnpio","d_estado","d_ciudad","d_CP","c_estado","c_oficina","c_CP","c_tipo_asenta","c_mnpio","id_asenta_cpcons","d_zona","c_cve_ciudad"
"77000","Chetumal Centro","Colonia","Othón P. Blanco","Quintana Roo","Chetumal (Ciudad Chetumal)","77001","23","77001",,"09","004","0001","Urbano","04"
"77008","Secretaria de Hacienda y Crédito Publico","Gran usuario","Othón P. Blanco","Quintana Roo","Chetumal (Ciudad Chetumal)","77001","23","77001",,"22","004","0007","Urbano","04"
"77009","Palacio de Gobierno del Estado de Quintana Roo","Gran usuario","Othón P. Blanco","Quintana Roo","Chetumal (Ciudad Chetumal)","77001","23","77001",,"22","004","0008","Urbano","04"
"77010","Naval","Colonia","Othón P. Blanco","Quintana Roo","Chetumal (Ciudad Chetumal)","77001","23","77001",,"09","004","0011","Urbano","04"
"77010","La Isla","Fraccionamiento","Othón P. Blanco","Quintana Roo","Chetumal (Ciudad Chetumal)","77001","23","77001",,"21","004","737","Urbano","04"
"77010","Adolfo López Mateos","Colonia","Othón P. Blanco","Quintana Roo","Chetumal (Ciudad Chetumal)","77001","23","77001",,"09","004","0009","Urbano","04"
"77010","Isabel Tenorio","Colonia","Othón P. Blanco","Quintana Roo","Chetumal (Ciudad Chetumal)","77001","23","77001",,"09","004","748","Urbano","04"
"77010","Francisco J Mújica INFONAVIT","Unidad habitacional","Othón P. Blanco","Quintana Roo","Chetumal (Ciudad Chetumal)","77001","23","77001",,"31","004","0010","Urbano","04"
"77010","Del Mar I y II (Infonavit)","Fraccionamiento","Othón P. Blanco","Quintana Roo","Chetumal (Ciudad Chetumal)","77001","23","77001",,"21","004","739","Urbano","04"
"77010","Bugambilias","Fraccionamiento","Othón P. Blanco","Quintana Roo","Chetumal (Ciudad Chetumal)","77001","23","77001",,"21","004","0629","Urbano","04"
"77011","Centro Sct Quintana Roo","Gran usuario","Othón P. Blanco","Quintana Roo","Chetumal (Ciudad Chetumal)","77001","23","77001",,"22","004","0012","Urbano","04"
"77012","Casitas","Colonia","Othón P. Blanco","Quintana Roo","Chetumal (Ciudad Chetumal)","77001","23","77001",,"09","004","727","Urbano","04"
"77012","Venustiano Carranza","Colonia","Othón P. Blanco","Quintana Roo","Chetumal (Ciudad Chetumal)","77001","23","77001",,"09","004","0013","Urbano","04"
"77013","David G Gutiérrez Ruiz","Colonia","Othón P. Blanco","Quintana Roo","Chetumal (Ciudad Chetumal)","77001","23","77001",,"09","004","0014","Urbano","04"
"77014","Pacto Obrero Campesino","Fraccionamiento","Othón P. Blanco","Quintana Roo","Chetumal (Ciudad Chetumal)","77001","23","77001",,"21","004","0015","Urbano","04"
"77014","Infonavit Santa María","Unidad habitacional","Othón P. Blanco","Quintana Roo","Chetumal (Ciudad Chetumal)","77001","23","77001",,"31","004","0016","Urbano","04"
"77014","Villas Kinichna","Fraccionamiento","Othón P. Blanco","Quintana Roo","Chetumal (Ciudad Chetumal)","77001","23","77001",,"21","004","769","Urbano","04"
"77014","Lázaro Cárdenas","Colonia","Othón P. Blanco","Quintana Roo","Chetumal (Ciudad Chetumal)","77001","23","77001",,"09","004","779","Urbano","04"
"77015","Constituyentes","Colonia","Othón P. Blanco","Quintana Roo","Chetumal (Ciudad Chetumal)","77001","23","77001",,"09","004","0017","Urbano","04"
"77015","Industrial","Colonia","Othón P. Blanco","Quintana Roo","Chetumal (Ciudad Chetumal)","77001","23","77001",,"09","004","0018","Rural","04"
"77016","Martínez Ross","Colonia","Othón P. Blanco","Quintana Roo","Chetumal (Ciudad Chetumal)","77001","23","77001",,"09","004","0020","Urbano","04"
"77016","Leona Vicario","Colonia","Othón P. Blanco","Quintana Roo","Chetumal (Ciudad Chetumal)","77001","23","77001",,"09","004","0019","Urbano","04"
