"d_codigo","d_asenta","d_tipo_asenta","D_mnpio","d_estado","d_ciudad","d_CP","c_estado","c_oficina","c_CP","c_tipo_asenta","c_mnpio","id_asenta_cpcons","d_zona","c_cve_ciudad"
"78000","San Luis Potosí Centro","Colonia","San Luis Potosí","San Luis Potosí","San Luis Potosí","78001","24","78001",,"09","028","0001","Urbano","05"
"78008","Oficina Federal de Hacienda","Gran usuario","San Luis Potosí","San Luis Potosí","San Luis Potosí","78001","24","78001",,"22","028","0004","Urbano","05"
"78009","Palacio de Gobierno del Estado de San Luis Potosí","Gran usuario","San Luis Potosí","San Luis Potosí","San Luis Potosí","78001","24","78001",,"22","028","0005","Urbano","05"
"78037","La Paz","Colonia","San Luis Potosí","San Luis Potosí","San Luis Potosí","78001","24","78001",,"09","028","0017","Urbano","05"
"78038","Tlaxcala","Barrio","San Luis Potosí","San Luis Potosí","San Luis Potosí","78001","24","78001",,"02","028","0018","Urbano","05"
"78040","Hidalgo","Colonia","San Luis Potosí","San Luis Potosí","San Luis Potosí","78001","24","78001",,"09","028","0020","Urbano","05"
"78040","Rinconada de Santiago","Colonia","San Luis Potosí","San Luis Potosí","San Luis Potosí","78001","24","78001",,"09","028","0021","Urbano","05"
"78048","Juan Alvarez","Colonia","San Luis Potosí","San Luis Potosí","San Luis Potosí","78001","24","78001",,"09","028","0023","Urbano","05"
"78049","Privada Residencial Real de Alvarez","Fraccionamiento","San Luis Potosí","San Luis Potosí","San Luis Potosí","78001","24","78001",,"21","028","2250","Urbano","05"
"78049","Villas de Pedro Moreno","Fraccionamiento","San Luis Potosí","San Luis Potosí","San Luis Potosí","78001","24","78001",,"21","028","2252","Urbano","05"
"78049","Conjunto Pedro Moreno","Fraccionamiento","San Luis Potosí","San Luis Potosí","San Luis Potosí","78001","24","78001",,"21","028","2251","Urbano","05"
"78049","Santiago del Río","Barrio","San Luis Potosí","San Luis Potosí","San Luis Potosí","78001","24","78001",,"02","028","0024","Urbano","05"
"78049","Santiago del Río","Fraccionamiento","San Luis Potosí","San Luis Potosí","San Luis Potosí","78001","24","78001",,"21","028","0075","Urbano","05"
"78049","Fresnos del Río","Fraccionamiento","San Luis Potosí","San Luis Potosí","San Luis Potosí","78001","24","78001",,"21","028","2061","Urbano","05"
"78049","Privada Altamirano","Fraccionamiento","San Luis Potosí","San Luis Potosí","San Luis Potosí","78001","24","78001",,"21","028","2302","Urbano","05"
"78049","Huerta Real","Fraccionamiento","San Luis Potosí","San Luis Potosí","San Luis Potosí","78001","24","78001",,"21","028","1947","Urbano","05"
"78049","Residencial las Moras","Fraccionamiento","San Luis Potosí","San Luis Potosí","San Luis Potosí","78001","24","78001",,"21","028","2326","Urbano","05"
"78100","Mártires de La Revolución","Colonia","San Luis Potosí","San Luis Potosí","San Luis Potosí","78141","24","78141",,"09","028","0025","Urbano","05"
"78100","Sáuz","Colonia","San Luis Potosí","San Luis Potosí","San Luis Potosí","78141","24","78141",,"09","028","1024","Urbano","05"
"78100","Huachichiles","Colonia","San Luis Potosí","San Luis Potosí","San Luis Potosí","78141","24","78141",,"09","028","2098","Urbano","05"
"78100","Rubén Jaramillo","Fraccionamiento","San Luis Potosí","San Luis Potosí","San Luis Potosí","78141","24","78141",,"21","028","2115","Urbano","05"
"78100","Peñasco","Colonia","San Luis Potosí","San Luis Potosí","San Luis Potosí","78141","24","78141",,"09","028","2124","Urbano","05"
"78100","Torremolinos","Fraccionamiento","San Luis Potosí","San Luis Potosí","San Luis Potosí","78141","24","78141",,"21","028","2297","Urbano","05"
"78100","Andalucía","Fraccionamiento","San Luis Potosí","San Luis Potosí","San Luis Potosí","78141","24","78141",,"21","028","2294","Urbano","05"
"78100","Los Magueyes","Fraccionamiento","San Luis Potosí","San Luis Potosí","San Luis Potosí","78141","24","78141",,"21","028","2131","Urbano","05"
"78100","Valle San José","Fraccionamiento","San Luis Potosí","San Luis Potosí","San Luis Potosí","78141","24","78141",,"21","028","2256","Urbano","05"
"78100","Terremoto","Fraccionamiento","San Luis Potosí","San Luis Potosí","San Luis Potosí","78141","24","78141",,"21","028","2305","Urbano","05"
"78100","Tercera Chica","Poblado comunal","San Luis Potosí","San Luis Potosí","San Luis Potosí","78141","24","78141",,"27","028","0281","Urbano","05"
"78100","Ricardo Flores Magón","Fraccionamiento","San Luis Potosí","San Luis Potosí","San Luis Potosí","78141","24","78141",,"21","028","2254","Urbano","05"
"78100","La Matamoros","Colonia","San Luis Potosí","San Luis Potosí","San Luis Potosí","78141","24","78141",,"09","028","0917","Urbano","05"
"78100","Nueva Creación","Fraccionamiento","San Luis Potosí","San Luis Potosí","San Luis Potosí","78141","24","78141",,"21","028","2355","Urbano","05"
"78106","La Morena","Colonia","San Luis Potosí","San Luis Potosí","San Luis Potosí","78141","24","78141",,"09","028","0026","Urbano","05"
"78107","La Tuna","Colonia","San Luis Potosí","San Luis Potosí","San Luis Potosí","78141","24","78141",,"09","028","0027","Urbano","05"
"78109","Las Flores","Colonia","San Luis Potosí","San Luis Potosí","San Luis Potosí","78141","24","78141",,"09","028","0029","Urbano","05"
"78109","Los Girasoles","Fraccionamiento","San Luis Potosí","San Luis Potosí","San Luis Potosí","78141","24","78141",,"21","028","2262","Urbano","05"
"78110","Imperio Azteca","Colonia","San Luis Potosí","San Luis Potosí","San Luis Potosí","78141","24","78141",,"09","028","0028","Urbano","05"
