"d_codigo","d_asenta","d_tipo_asenta","D_mnpio","d_estado","d_ciudad","d_CP","c_estado","c_oficina","c_CP","c_tipo_asenta","c_mnpio","id_asenta_cpcons","d_zona","c_cve_ciudad"
"80000","Centro Sinaloa","Colonia","Culiacán","Sinaloa","Culiacán","80001","25","80001",,"09","006","0525","Urbano","02"
"80000","Centro Sinaloa","Zona comercial","Culiacán","Sinaloa","Culiacán","80001","25","80001",,"33","006","1332","Urbano","02"
"80000","Culiacán Centro","Colonia","Culiacán","Sinaloa","Culiacán","80001","25","80001",,"09","006","0001","Urbano","02"
"80007","Universidad Autónoma de Sinaloa","Gran usuario","Culiacán","Sinaloa","Culiacán","80001","25","80001",,"22","006","0006","Urbano","02"
"80008","Almacenes Zaragoza S.A.","Gran usuario","Culiacán","Sinaloa","Culiacán","80001","25","80001",,"22","006","0007","Urbano","02"
"80009","Secretaria de La Reforma Agraria","Gran usuario","Culiacán","Sinaloa","Culiacán","80001","25","80001",,"22","006","0008","Urbano","02"
"80010","Ignacio Allende","Colonia","Culiacán","Sinaloa","Culiacán","80011","25","80011",,"09","006","0011","Urbano","02"
"80010","Fresnos","Fraccionamiento","Culiacán","Sinaloa","Culiacán","80011","25","80011",,"21","006","2023","Urbano","02"
"80010","Villa Universidad","Fraccionamiento","Culiacán","Sinaloa","Culiacán","80011","25","80011",,"21","006","0014","Urbano","02"
"80010","6 de Enero","Colonia","Culiacán","Sinaloa","Culiacán","80011","25","80011",,"09","006","0012","Urbano","02"
"80010","Arboledas","Fraccionamiento","Culiacán","Sinaloa","Culiacán","80011","25","80011",,"21","006","0009","Urbano","02"
"80010","Vicente Lombardo Toledano","Colonia","Culiacán","Sinaloa","Culiacán","80011","25","80011",,"09","006","0013","Urbano","02"
"80013","Obrero Campesino","Colonia","Culiacán","Sinaloa","Culiacán","80011","25","80011",,"09","006","0017","Urbano","02"
"80013","Ciudad Universitaria","Gran usuario","Culiacán","Sinaloa","Culiacán","80011","25","80011",,"22","006","0016","Urbano","02"
"80013","Universitaria","Colonia","Culiacán","Sinaloa","Culiacán","80011","25","80011",,"09","006","0018","Urbano","02"
"80014","Lomas de Tamazula","Colonia","Culiacán","Sinaloa","Culiacán","80011","25","80011",,"09","006","0544","Urbano","02"
"80014","Rosario Uzarraga","Colonia","Culiacán","Sinaloa","Culiacán","80011","25","80011",,"09","006","0021","Urbano","02"
"80014","Maralago","Fraccionamiento","Culiacán","Sinaloa","Culiacán","80011","25","80011",,"21","006","2809","Urbano","02"
"80014","Agrarista Mexicana","Colonia","Culiacán","Sinaloa","Culiacán","80011","25","80011",,"09","006","0019","Urbano","02"
"80014","Nueva Galaxia","Colonia","Culiacán","Sinaloa","Culiacán","80011","25","80011",,"09","006","1346","Urbano","02"
"80014","Las Glorias","Fraccionamiento","Culiacán","Sinaloa","Culiacán","80011","25","80011",,"21","006","2320","Urbano","02"
"80014","Buenavista","Colonia","Culiacán","Sinaloa","Culiacán","80011","25","80011",,"09","006","0020","Urbano","02"
"80014","Los Angeles","Fraccionamiento","Culiacán","Sinaloa","Culiacán","80011","25","80011",,"21","006","1345","Urbano","02"
"80014","Floresta","Fraccionamiento","Culiacán","Sinaloa","Culiacán","80011","25","80011",,"21","006","2155","Urbano","02"
"80015","Campestre","Fraccionamiento","Culiacán","Sinaloa","Culiacán","80011","25","80011",,"21","006","0023","Urbano","02"
"80015","Lomas Del Magisterio","Colonia","Culiacán","Sinaloa","Culiacán","80011","25","80011",,"09","006","0545","Urbano","02"
"80015","Solidaridad","Colonia","Culiacán","Sinaloa","Culiacán","80011","25","80011",,"09","006","0025","Urbano","02"
"80015","Villa Del Sol","Colonia","Culiacán","Sinaloa","Culiacán","80011","25","80011",,"09","006","0026","Urbano","02"
"80015","Grecia","Colonia","Culiacán","Sinaloa","Culiacán","80011","25","80011",,"09","006","1341","Urbano","02"
"80015","Ruben Jaramillo","Colonia","Culiacán","Sinaloa","Culiacán","80011","25","80011",,"09","006","0024","Urbano","02"
"80015","Residencial Hacienda","Fraccionamiento","Culiacán","Sinaloa","Culiacán","80011","25","80011",,"21","006","2047","Urbano","02"
"80016","Lomas Del Sol 2","Fraccionamiento","Culiacán","Sinaloa","Culiacán","80011","25","80011",,"21","006","1344","Urbano","02"
"80016","16 de Septiembre","Colonia","Culiacán","Sinaloa","Culiacán","80011","25","80011",,"09","006","0028","Urbano","02"
"80016","Juan de Dios Bátiz","Colonia","Culiacán","Sinaloa","Culiacán","80011","25","80011",,"09","006","0029","Urbano","02"
"80016","Lomas Del Pedregal","Fraccionamiento","Culiacán","Sinaloa","Culiacán","80011","25","80011",,"21","006","0030","Urbano","02"
"80016","Lomas Del Sol","Fraccionamiento","Culiacán","Sinaloa","Culiacán","80011","25","80011",,"21","006","0031","Urbano","02"
"80016","Buenavista","Ampliacion","Culiacán","Sinaloa","Culiacán","80011","25","80011",,"38","006","0027","Urbano","02"
"80016","Las Américas","Colonia","Culiacán","Sinaloa","Culiacán","80011","25","80011",,"09","006","0517","Urbano","02"
"80016","Lomas Del Sol Duplex","Fraccionamiento","Culiacán","Sinaloa","Culiacán","80011","25","80011",,"21","006","2156","Urbano","02"
"80017","Jesús Valdez Aldana","Colonia","Culiacán","Sinaloa","Culiacán","80011","25","80011",,"09","006","0035","Urbano","02"
"80017","Montesierra","Fraccionamiento","Culiacán","Sinaloa","Culiacán","80011","25","80011",,"21","006","0036","Urbano","02"
"80017","El Mirador","Colonia","Culiacán","Sinaloa","Culiacán","80011","25","80011",,"09","006","0034","Urbano","02"
"80018","Lirios del Río","Fraccionamiento","Culiacán","Sinaloa","Culiacán","80011","25","80011",,"21","006","2035","Urbano","02"
"80018","Bosques Del Álamo","Fraccionamiento","Culiacán","Sinaloa","Culiacán","80011","25","80011",,"21","006","2150","Urbano","02"
"80018","Los Alamitos","Colonia","Culiacán","Sinaloa","Culiacán","80011","25","80011",,"09","006","0038","Urbano","02"
