"d_codigo","d_asenta","d_tipo_asenta","D_mnpio","d_estado","d_ciudad","d_CP","c_estado","c_oficina","c_CP","c_tipo_asenta","c_mnpio","id_asenta_cpcons","d_zona","c_cve_ciudad"
"83000","Hermosillo Centro","Colonia","Hermosillo","Sonora","Hermosillo","83002","26","83002",,"09","030","0001","Urbano","07"
"83000","Centro Norte","Colonia","Hermosillo","Sonora","Hermosillo","83002","26","83002",,"09","030","3140","Urbano","07"
"83000","Centro Oriente","Colonia","Hermosillo","Sonora","Hermosillo","83002","26","83002",,"09","030","3139","Urbano","07"
"83010","5 de Mayo","Colonia","Hermosillo","Sonora","Hermosillo","83191","26","83191",,"09","030","0008","Urbano","07"
"83010","Country Club","Colonia","Hermosillo","Sonora","Hermosillo","83191","26","83191",,"09","030","0009","Urbano","07"
"83010","Country Club Residencial","Residencial","Hermosillo","Sonora","Hermosillo","83191","26","83191",,"30","030","3156","Urbano","07"
"83010","Lomas del Pitic","Colonia","Hermosillo","Sonora","Hermosillo","83191","26","83191",,"09","030","0010","Urbano","07"
"83010","Mediterráneo Residencial","Colonia","Hermosillo","Sonora","Hermosillo","83191","26","83191",,"09","030","1705","Urbano","07"
"83010","Los Igualados","Colonia","Hermosillo","Sonora","Hermosillo","83191","26","83191",,"09","030","2776","Urbano","07"
"83010","El Encanto Residencial","Colonia","Hermosillo","Sonora","Hermosillo","83191","26","83191",,"09","030","2757","Urbano","07"
"83010","5 de Mayo Sector ""A""","Colonia","Hermosillo","Sonora","Hermosillo","83191","26","83191",,"09","030","3155","Urbano","07"
"83010","Los Altos Residencial","Residencial","Hermosillo","Sonora","Hermosillo","83191","26","83191",,"30","030","3019","Urbano","07"
"83013","PEMEX","Parque industrial","Hermosillo","Sonora","Hermosillo","83002","26","83002",,"26","030","2111","Urbano","07"
"83013","Ferrocarrilera","Colonia","Hermosillo","Sonora","Hermosillo","83002","26","83002",,"09","030","2115","Urbano","07"
"83015","Rinconada de Nuevo Leon","Colonia","Hermosillo","Sonora","Hermosillo","83002","26","83002",,"09","030","0011","Urbano","07"
"83016","Cruz Gálvez","Colonia","Hermosillo","Sonora","Hermosillo","83191","26","83191",,"09","030","0012","Urbano","07"
"83020","Amapolas","Colonia","Hermosillo","Sonora","Hermosillo","83002","26","83002",,"09","030","0014","Urbano","07"
"83029","Metalera","Colonia","Hermosillo","Sonora","Hermosillo","83002","26","83002",,"09","030","0015","Urbano","07"
"83030","Cañada de los Negros","Colonia","Hermosillo","Sonora","Hermosillo","83002","26","83002",,"09","030","0016","Urbano","07"
"83040","Coloso","Colonia","Hermosillo","Sonora","Hermosillo","83002","26","83002",,"09","030","0017","Urbano","07"
"83040","Coloso Norte","Colonia","Hermosillo","Sonora","Hermosillo","83002","26","83002",,"09","030","3138","Urbano","07"
"83040","El Mariachi","Colonia","Hermosillo","Sonora","Hermosillo","83002","26","83002",,"09","030","0018","Urbano","07"
"83040","Coloso Oriente","Colonia","Hermosillo","Sonora","Hermosillo","83002","26","83002",,"09","030","3137","Urbano","07"
"83050","Bella Vista","Colonia","Hermosillo","Sonora","Hermosillo","83002","26","83002",,"09","030","2940","Urbano","07"
"83050","Rinconada de La Cruz","Colonia","Hermosillo","Sonora","Hermosillo","83002","26","83002",,"09","030","2112","Urbano","07"
"83050","El Ranchito","Colonia","Hermosillo","Sonora","Hermosillo","83002","26","83002",,"09","030","0020","Urbano","07"
"83060","Los Naranjos","Colonia","Hermosillo","Sonora","Hermosillo","83002","26","83002",,"09","030","0021","Urbano","07"
