"d_codigo","d_asenta","d_tipo_asenta","D_mnpio","d_estado","d_ciudad","d_CP","c_estado","c_oficina","c_CP","c_tipo_asenta","c_mnpio","id_asenta_cpcons","d_zona","c_cve_ciudad"
"86000","Portal Del Agua","Fraccionamiento","Centro","Tabasco","Villahermosa","86061","27","86061",,"21","004","0001","Urbano","02"
"86000","Centro Delegacional 6","Colonia","Centro","Tabasco","Villahermosa","86061","27","86061",,"09","004","1477","Urbano","02"
"86000","Villahermosa Centro","Colonia","Centro","Tabasco","Villahermosa","86061","27","86061",,"09","004","0002","Urbano","02"
"86005","Petróleos Mexicanos","Gran usuario","Centro","Tabasco","Villahermosa","86061","27","86061",,"22","004","0006","Urbano","02"
"86006","Teléfonos de México S.A. de CV","Gran usuario","Centro","Tabasco","Villahermosa","86061","27","86061",,"22","004","0007","Urbano","02"
"86007","Secretaria de Hacienda y Crédito Publico","Gran usuario","Centro","Tabasco","Villahermosa","86061","27","86061",,"22","004","0008","Urbano","02"
"86008","Secretaria de La Reforma Agraria","Gran usuario","Centro","Tabasco","Villahermosa","86061","27","86061",,"22","004","0009","Urbano","02"
"86009","Palacio de Gobierno Del Estado de Tabasco","Gran usuario","Centro","Tabasco","Villahermosa","86061","27","86061",,"22","004","0010","Urbano","02"
"86010","Ciudad Industrial","Colonia","Centro","Tabasco","Villahermosa","86061","27","86061",,"09","004","0011","Urbano","02"
"86010","Triangulo Industrial","Colonia","Centro","Tabasco","Villahermosa","86061","27","86061",,"09","004","1272","Urbano","02"
"86010","Fideicomiso Ciudad Industrial","Zona industrial","Centro","Tabasco","Villahermosa","86061","27","86061",,"37","004","1281","Urbano","02"
"86015","Ciudad Industrial III","Colonia","Centro","Tabasco","Villahermosa","86061","27","86061",,"09","004","1276","Urbano","02"
"86016","Interés Social 1","Colonia","Centro","Tabasco","Villahermosa","86061","27","86061",,"09","004","0013","Urbano","02"
"86016","El Porvenir 1a Sección","Colonia","Centro","Tabasco","Villahermosa","86061","27","86061",,"09","004","1277","Rural","02"
"86016","Las Margaritas","Colonia","Centro","Tabasco","Villahermosa","86061","27","86061",,"09","004","0014","Urbano","02"
"86017","Las Garzas","Fraccionamiento","Centro","Tabasco","Villahermosa","86061","27","86061",,"21","004","1486","Urbano","02"
"86017","Indeco Unidad","Unidad habitacional","Centro","Tabasco","Villahermosa","86061","27","86061",,"31","004","0015","Urbano","02"
"86017","Jardines Del Sol","Fraccionamiento","Centro","Tabasco","Villahermosa","86061","27","86061",,"21","004","1279","Urbano","02"
"86017","La Pigua","Fraccionamiento","Centro","Tabasco","Villahermosa","86061","27","86061",,"21","004","1278","Urbano","02"
"86017","Cosmos","Fraccionamiento","Centro","Tabasco","Villahermosa","86061","27","86061",,"21","004","1280","Urbano","02"
"86018","Infonavit","Unidad habitacional","Centro","Tabasco","Villahermosa","86061","27","86061",,"31","004","0016","Urbano","02"
"86019","Laguna de Mecoacan","Fraccionamiento","Centro","Tabasco","Villahermosa","86061","27","86061",,"21","004","2517","Urbano","02"
"86019","Insurgentes","Fraccionamiento","Centro","Tabasco","Villahermosa","86061","27","86061",,"21","004","0017","Urbano","02"
"86019","Lagunas","Colonia","Centro","Tabasco","Villahermosa","86061","27","86061",,"09","004","1262","Urbano","02"
"86019","Olmeca","Fraccionamiento","Centro","Tabasco","Villahermosa","86061","27","86061",,"21","004","1263","Urbano","02"
"86019","Lagunas de Mecoacan","Fraccionamiento","Centro","Tabasco","Villahermosa","86061","27","86061",,"21","004","2549","Urbano","02"
"86019","Vicente Guerrero","Colonia","Centro","Tabasco","Villahermosa","86061","27","86061",,"09","004","1487","Semiurbano","02"
"86019","Francisco Villa","Fraccionamiento","Centro","Tabasco","Villahermosa","86061","27","86061",,"21","004","1568","Urbano","02"
"86019","Villa de las Flores","Fraccionamiento","Centro","Tabasco","Villahermosa","86061","27","86061",,"21","004","0018","Urbano","02"
"86019","San José","Fraccionamiento","Centro","Tabasco","Villahermosa","86061","27","86061",,"21","004","2514","Urbano","02"
"86019","Lagunas de San José","Fraccionamiento","Centro","Tabasco","Villahermosa","86061","27","86061",,"21","004","2548","Urbano","02"
"86020","Framboyanes","Colonia","Centro","Tabasco","Villahermosa","86061","27","86061",,"09","004","0021","Urbano","02"
"86020","El Recreo","Colonia","Centro","Tabasco","Villahermosa","86061","27","86061",,"09","004","0020","Urbano","02"
"86025","Universidad Autónoma de Tabasco","Gran usuario","Centro","Tabasco","Villahermosa","86061","27","86061",,"22","004","0023","Urbano","02"
