"d_codigo","d_asenta","d_tipo_asenta","D_mnpio","d_estado","d_ciudad","d_CP","c_estado","c_oficina","c_CP","c_tipo_asenta","c_mnpio","id_asenta_cpcons","d_zona","c_cve_ciudad"
"87000","Ciudad Victoria Centro","Colonia","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"09","041","0001","Urbano","11"
"87000","Los Fresnos","Fraccionamiento","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"21","041","2914","Urbano","11"
"87009","Palacio de Gobierno Del Estado de Tamaulipas","Gran usuario","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"22","041","0005","Urbano","11"
"87010","Transito","Colonia","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"09","041","0008","Urbano","11"
"87010","Enrique Cárdenas Gonzalez","Colonia","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"09","041","0006","Urbano","11"
"87010","Jose Lopez Portillo","Colonia","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"09","041","0007","Urbano","11"
"87014","Zona Militar","Zona federal","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"34","041","0012","Urbano","11"
"87014","Emilio Caballero","Colonia","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"09","041","0010","Urbano","11"
"87014","Luis Donaldo Colosio","Colonia","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"09","041","2107","Urbano","11"
"87014","Gral. Lucio Blanco","Colonia","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"09","041","0011","Urbano","11"
"87014","El Mirador","Colonia","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"09","041","0009","Urbano","11"
"87015","Estrella (Ampliación)","Ampliacion","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"38","041","0014","Urbano","11"
"87015","Privada San Ignacio II","Fraccionamiento","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"21","041","3264","Urbano","11"
"87015","Privada San Ignacio","Fraccionamiento","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"21","041","3265","Urbano","11"
"87015","Estrella","Colonia","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"09","041","0013","Urbano","11"
"87015","Las Enfermeras","Fraccionamiento","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"21","041","3175","Urbano","11"
"87016","Vamos Tamaulipas III Etapa","Colonia","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"09","041","3406","Urbano","11"
"87016","Vamos Tamaulipas II Etapa","Colonia","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"09","041","3405","Urbano","11"
"87016","La Sierra","Conjunto habitacional","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"12","041","3403","Urbano","11"
"87016","Vamos Tamaulipas IV Etapa","Conjunto habitacional","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"12","041","3407","Urbano","11"
"87016","Cañón de La Peregrina","Fraccionamiento","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"21","041","3365","Urbano","11"
"87016","Vamos Tamaulipas I Etapa","Colonia","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"09","041","3404","Urbano","11"
"87018","Valle Esmeralda","Fraccionamiento","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"21","041","3209","Urbano","11"
"87018","Agua Fria I","Fraccionamiento","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"21","041","3290","Urbano","11"
"87018","La Libertad II","Conjunto habitacional","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"12","041","2918","Urbano","11"
"87018","Praderas de  Victoria","Fraccionamiento","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"21","041","0019","Urbano","11"
"87018","Las Montañas","Fraccionamiento","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"21","041","3214","Urbano","11"
"87018","Agua Fria II","Fraccionamiento","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"21","041","3289","Urbano","11"
"87018","Industrial ( Ampliación)","Ampliacion","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"38","041","0018","Urbano","11"
"87018","Colinas Del Valle","Conjunto habitacional","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"12","041","0015","Urbano","11"
"87018","Industrial","Fraccionamiento","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"21","041","0017","Urbano","11"
"87018","Lomas de Calamaco","Fraccionamiento","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"21","041","2906","Urbano","11"
"87018","Colinas San Roberto","Fraccionamiento","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"21","041","3274","Urbano","11"
"87018","Framboyanes","Fraccionamiento","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"21","041","0016","Urbano","11"
"87018","Colinas de San Roberto","Fraccionamiento","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"21","041","3402","Urbano","11"
"87019","Monte Alto","Colonia","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"09","041","3174","Urbano","11"
"87019","Rincón del Valle","Fraccionamiento","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"21","041","3621","Urbano","11"
"87019","Burócratas Municipales II","Colonia","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"09","041","0020","Urbano","11"
"87019","La Libertad","Colonia","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"09","041","0022","Urbano","11"
"87019","La Libertad (Ampliación)","Ampliacion","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"38","041","0021","Urbano","11"
"87019","La Presita","Colonia","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"09","041","2917","Urbano","11"
"87020","Norberto Treviño Zapata","Colonia","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"09","041","0025","Urbano","11"
"87020","Adolfo Lopez Mateos","Colonia","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"09","041","0023","Urbano","11"
"87020","Valle Escondido","Fraccionamiento","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"21","041","0029","Urbano","11"
"87020","Del Norte","Colonia","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"09","041","0024","Urbano","11"
"87020","Valle de Aguayo","Fraccionamiento","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"21","041","0028","Urbano","11"
"87023","Haciendas del Colibrí","Fraccionamiento","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"21","041","3272","Urbano","11"
"87023","Puerta de Hierro","Fraccionamiento","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"21","041","3293","Urbano","11"
"87023","Santa María","Residencial","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"30","041","3396","Urbano","11"
"87023","Campestre Janambres","Residencial","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"30","041","3276","Urbano","11"
"87023","Hacienda del Colibrí","Fraccionamiento","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"21","041","3394","Urbano","11"
"87023","Ing. Agrónomo Carlos Anzures","Colonia","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"09","041","3395","Urbano","11"
"87023","San Gabriel","Condominio","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"10","041","3397","Urbano","11"
"87024","Azteca","Unidad habitacional","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"31","041","0030","Urbano","11"
"87024","Itace","Fraccionamiento","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"21","041","0034","Urbano","11"
"87024","Teocaltiche","Fraccionamiento","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"21","041","0038","Urbano","11"
"87024","Mariano Matamoros II","Colonia","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"09","041","2916","Urbano","11"
"87024","Santa Fe","Fraccionamiento","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"21","041","3277","Urbano","11"
"87024","Ignacio Zaragoza","Colonia","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"09","041","0033","Urbano","11"
"87024","Granjas Campestre","Fraccionamiento","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"21","041","2049","Urbano","11"
"87024","Vista Azul","Fraccionamiento","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"21","041","2907","Urbano","11"
"87024","Valle Oriente","Fraccionamiento","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"21","041","3269","Urbano","11"
"87024","Mariano Matamoros I","Colonia","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"09","041","0035","Urbano","11"
"87024","Pedregal Campestre","Fraccionamiento","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"21","041","3411","Urbano","11"
"87024","San Alberto","Fraccionamiento","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"21","041","3408","Urbano","11"
"87024","Vista Azul II","Fraccionamiento","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"21","041","3409","Urbano","11"
"87024","Burócratas Municipales","Colonia","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"09","041","0031","Urbano","11"
"87024","Doctores","Colonia","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"09","041","0032","Urbano","11"
"87024","Poza Madre","Colonia","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"09","041","0036","Urbano","11"
"87024","Privada San Miguel","Fraccionamiento","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"21","041","3279","Urbano","11"
"87024","Los Encinos Campestre","Fraccionamiento","Victoria","Tamaulipas","Ciudad Victoria","87001","28","87001",,"21","041","3288","Urbano","11"
