"d_codigo","d_asenta","d_tipo_asenta","D_mnpio","d_estado","d_ciudad","d_CP","c_estado","c_oficina","c_CP","c_tipo_asenta","c_mnpio","id_asenta_cpcons","d_zona","c_cve_ciudad"
"90000","Tlaxcala Centro","Colonia","Tlaxcala","Tlaxcala","Tlaxcala (Tlaxcala de Xicotencatl)","90001","29","90001",,"09","033","0001","Urbano","03"
"90006","Universidad Autónoma de Tlaxcala","Gran usuario","Tlaxcala","Tlaxcala","Tlaxcala (Tlaxcala de Xicotencatl)","90001","29","90001",,"22","033","0582","Urbano","03"
"90007","Secretaria de Agricultura Ganaderia y Desarrollo Rural","Gran usuario","Tlaxcala","Tlaxcala","Tlaxcala (Tlaxcala de Xicotencatl)","90001","29","90001",,"22","033","0006","Urbano","03"
"90008","Centro Sct Tlaxcala","Gran usuario","Tlaxcala","Tlaxcala","Tlaxcala (Tlaxcala de Xicotencatl)","90001","29","90001",,"22","033","0007","Urbano","03"
"90009","Palacio de Gobierno Del Estado de Tlaxcala","Gran usuario","Tlaxcala","Tlaxcala","Tlaxcala (Tlaxcala de Xicotencatl)","90001","29","90001",,"22","033","0008","Urbano","03"
"90010","San Buenaventura Atempan","Colonia","Tlaxcala","Tlaxcala","Tlaxcala (Tlaxcala de Xicotencatl)","90001","29","90001",,"09","033","0009","Urbano","03"
"90013","Xicoténcatl","Unidad habitacional","Tlaxcala","Tlaxcala","Tlaxcala (Tlaxcala de Xicotencatl)","90001","29","90001",,"31","033","0630","Urbano","03"
"90014","Los Volcanes","Colonia","Tlaxcala","Tlaxcala","Tlaxcala (Tlaxcala de Xicotencatl)","90001","29","90001",,"09","033","0629","Urbano","03"
"90014","El Bosque","Fraccionamiento","Tlaxcala","Tlaxcala","Tlaxcala (Tlaxcala de Xicotencatl)","90001","29","90001",,"21","033","0543","Urbano","03"
"90014","Los Potrillos","Fraccionamiento","Tlaxcala","Tlaxcala","Tlaxcala (Tlaxcala de Xicotencatl)","90001","29","90001",,"21","033","0544","Urbano","03"
"90014","Vista Hermosa","Fraccionamiento","Tlaxcala","Tlaxcala","Tlaxcala (Tlaxcala de Xicotencatl)","90001","29","90001",,"21","033","0545","Urbano","03"
"90014","Magisterial Vista Hermosa","Fraccionamiento","Tlaxcala","Tlaxcala","Tlaxcala (Tlaxcala de Xicotencatl)","90001","29","90001",,"21","033","0547","Urbano","03"
"90014","Los Causes","Fraccionamiento","Tlaxcala","Tlaxcala","Tlaxcala (Tlaxcala de Xicotencatl)","90001","29","90001",,"21","033","0546","Urbano","03"
"90014","El Rincón","Fraccionamiento","Tlaxcala","Tlaxcala","Tlaxcala (Tlaxcala de Xicotencatl)","90001","29","90001",,"21","033","0542","Urbano","03"
"90014","Cuarto Señorío","Fraccionamiento","Tlaxcala","Tlaxcala","Tlaxcala (Tlaxcala de Xicotencatl)","90001","29","90001",,"21","033","0548","Urbano","03"
"90019","Los Pinos","Colonia","Tlaxcala","Tlaxcala","Tlaxcala (Tlaxcala de Xicotencatl)","90001","29","90001",,"09","033","0010","Urbano","03"
"90020","Militar","Colonia","Tlaxcala","Tlaxcala","Tlaxcala (Tlaxcala de Xicotencatl)","90001","29","90001",,"09","033","0011","Urbano","03"
"90030","General Felipe Santiago Xicoténcatl","Unidad habitacional","Tlaxcala","Tlaxcala","Tlaxcala (Tlaxcala de Xicotencatl)","90001","29","90001",,"31","033","0012","Urbano","03"
"90030","IV Señoríos","Unidad habitacional","Tlaxcala","Tlaxcala","Tlaxcala (Tlaxcala de Xicotencatl)","90001","29","90001",,"31","033","0553","Urbano","03"
"90030","Los Girasoles","Fraccionamiento","Tlaxcala","Tlaxcala","Tlaxcala (Tlaxcala de Xicotencatl)","90001","29","90001",,"21","033","0687","Urbano","03"
"90030","Los Pinos","Fraccionamiento","Tlaxcala","Tlaxcala","Tlaxcala (Tlaxcala de Xicotencatl)","90001","29","90001",,"21","033","0690","Urbano","03"
"90030","Los Cipreses","Fraccionamiento","Tlaxcala","Tlaxcala","Tlaxcala (Tlaxcala de Xicotencatl)","90001","29","90001",,"21","033","800","Urbano","03"
"90030","Jardines de San Gabriel","Unidad habitacional","Tlaxcala","Tlaxcala","Tlaxcala (Tlaxcala de Xicotencatl)","90001","29","90001",,"31","033","0685","Urbano","03"
"90030","Los Volcanes","Unidad habitacional","Tlaxcala","Tlaxcala","Tlaxcala (Tlaxcala de Xicotencatl)","90001","29","90001",,"31","033","0550","Urbano","03"
"90030","Lomas de Coyotepec","Fraccionamiento","Tlaxcala","Tlaxcala","Tlaxcala (Tlaxcala de Xicotencatl)","90001","29","90001",,"21","033","0555","Urbano","03"
"90030","Villa de los Ángeles","Unidad habitacional","Tlaxcala","Tlaxcala","Tlaxcala (Tlaxcala de Xicotencatl)","90001","29","90001",,"31","033","0686","Urbano","03"
"90030","Ameyal","Fraccionamiento","Tlaxcala","Tlaxcala","Tlaxcala (Tlaxcala de Xicotencatl)","90001","29","90001",,"21","033","0684","Urbano","03"
"90030","Las Animas","Colonia","Tlaxcala","Tlaxcala","Tlaxcala (Tlaxcala de Xicotencatl)","90001","29","90001",,"09","033","0551","Urbano","03"
"90030","Las Animas","Fraccionamiento","Tlaxcala","Tlaxcala","Tlaxcala (Tlaxcala de Xicotencatl)","90001","29","90001",,"21","033","0593","Urbano","03"
"90030","El Real","Residencial","Tlaxcala","Tlaxcala","Tlaxcala (Tlaxcala de Xicotencatl)","90001","29","90001",,"30","033","799","Urbano","03"
"90030","Paso de Cortes","Fraccionamiento","Tlaxcala","Tlaxcala","Tlaxcala (Tlaxcala de Xicotencatl)","90001","29","90001",,"21","033","0552","Urbano","03"
"90030","Real Del Sol","Fraccionamiento","Tlaxcala","Tlaxcala","Tlaxcala (Tlaxcala de Xicotencatl)","90001","29","90001",,"21","033","0554","Urbano","03"
"90039","Santa Cruz Industrial","Colonia","Tlaxcala","Tlaxcala","Tlaxcala (Tlaxcala de Xicotencatl)","90001","29","90001",,"09","033","0013","Urbano","03"
