"d_codigo","d_asenta","d_tipo_asenta","D_mnpio","d_estado","d_ciudad","d_CP","c_estado","c_oficina","c_CP","c_tipo_asenta","c_mnpio","id_asenta_cpcons","d_zona","c_cve_ciudad"
"91000","Jalapa Enríquez Centro","Colonia","Xalapa","Veracruz","Xalapa Enríquez","91002","30","91002",,"09","087","0001","Urbano","10"
"91008","Oficina Federal de Hacienda","Gran usuario","Xalapa","Veracruz","Xalapa Enríquez","91002","30","91002",,"22","087","0004","Urbano","10"
"91009","Palacio de Gobierno Del Estado de Veracruz","Gran usuario","Xalapa","Veracruz","Xalapa Enríquez","91002","30","91002",,"22","087","0005","Urbano","10"
"91010","21 de Marzo","Colonia","Xalapa","Veracruz","Xalapa Enríquez","91002","30","91002",,"09","087","0011","Urbano","10"
"91010","Brisas del Río Sedeño","Colonia","Xalapa","Veracruz","Xalapa Enríquez","91002","30","91002",,"09","087","5981","Urbano","10"
"91010","18 de Marzo","Colonia","Xalapa","Veracruz","Xalapa Enríquez","91002","30","91002",,"09","087","4219","Urbano","10"
"91010","21 de Marzo Prolongación","Ampliacion","Xalapa","Veracruz","Xalapa Enríquez","91002","30","91002",,"38","087","6004","Urbano","10"
"91010","Virginia Cordero de Murillo Vidal","Unidad habitacional","Xalapa","Veracruz","Xalapa Enríquez","91002","30","91002",,"31","087","0012","Urbano","10"
"91010","Arroyo Zarco","Colonia","Xalapa","Veracruz","Xalapa Enríquez","91002","30","91002",,"09","087","0631","Urbano","10"
"91010","Unidad Del Bosque Pensiones","Colonia","Xalapa","Veracruz","Xalapa Enríquez","91002","30","91002",,"09","087","0009","Urbano","10"
"91010","Magisterial","Colonia","Xalapa","Veracruz","Xalapa Enríquez","91002","30","91002",,"09","087","0010","Urbano","10"
"91010","Mesa de Guayabo","Colonia","Xalapa","Veracruz","Xalapa Enríquez","91002","30","91002",,"09","087","5998","Urbano","10"
"91010","Teresa Peñafiel","Ejido","Xalapa","Veracruz","Xalapa Enríquez","91002","30","91002",,"15","087","0008","Urbano","10"
