"d_codigo","d_asenta","d_tipo_asenta","D_mnpio","d_estado","d_ciudad","d_CP","c_estado","c_oficina","c_CP","c_tipo_asenta","c_mnpio","id_asenta_cpcons","d_zona","c_cve_ciudad"
"97000","La Quinta","Fraccionamiento","Mérida","Yucatán","Mérida","97002","31","97002",,"21","050","0894","Urbano","01"
"97000","Privada Del Maestro","Fraccionamiento","Mérida","Yucatán","Mérida","97002","31","97002",,"21","050","0904","Urbano","01"
"97000","Privada Garcia Gineres C - 29","Colonia","Mérida","Yucatán","Mérida","97002","31","97002",,"09","050","0905","Urbano","01"
"97000","Merida Centro","Colonia","Mérida","Yucatán","Mérida","97002","31","97002",,"09","050","0001","Urbano","01"
"97000","Los Cocos","Fraccionamiento","Mérida","Yucatán","Mérida","97002","31","97002",,"21","050","0896","Urbano","01"
"97003","Los Reyes","Fraccionamiento","Mérida","Yucatán","Mérida","97002","31","97002",,"21","050","0796","Urbano","01"
"97007","Secretaria de Agricultura Ganaderia y Desarrollo Rural","Gran usuario","Mérida","Yucatán","Mérida","97002","31","97002",,"22","050","0008","Urbano","01"
"97009","Palacio de Gobierno Del Estado de Yucatan","Gran usuario","Mérida","Yucatán","Mérida","97002","31","97002",,"22","050","0009","Urbano","01"
"97050","Martin Alcala","Colonia","Mérida","Yucatán","Mérida","97002","31","97002",,"09","050","0010","Urbano","01"
"97050","Conjunto Residencial Del Norte","Fraccionamiento","Mérida","Yucatán","Mérida","97002","31","97002",,"21","050","0889","Urbano","01"
"97050","Yucatan","Colonia","Mérida","Yucatán","Mérida","97002","31","97002",,"09","050","0011","Urbano","01"
"97059","Señorial","Fraccionamiento","Mérida","Yucatán","Mérida","97002","31","97002",,"21","050","0012","Urbano","01"
"97060","Carrillo Ancona","Colonia","Mérida","Yucatán","Mérida","97212","31","97212",,"09","050","0013","Urbano","01"
"97068","Itzaes","Fraccionamiento","Mérida","Yucatán","Mérida","97212","31","97212",,"21","050","0014","Urbano","01"
"97069","Inalámbrica","Colonia","Mérida","Yucatán","Mérida","97212","31","97212",,"09","050","0015","Urbano","01"
"97070","Garcia Gineres","Colonia","Mérida","Yucatán","Mérida","97002","31","97002",,"09","050","0017","Urbano","01"
"97070","El Pedregal","Fraccionamiento","Mérida","Yucatán","Mérida","97002","31","97002",,"21","050","0595","Urbano","01"
"97070","Dolores Patron","Colonia","Mérida","Yucatán","Mérida","97002","31","97002",,"09","050","0016","Urbano","01"
"97080","La Huerta","Fraccionamiento","Mérida","Yucatán","Mérida","97002","31","97002",,"21","050","0020","Urbano","01"
"97088","Santa Cecilia","Fraccionamiento","Mérida","Yucatán","Mérida","97002","31","97002",,"21","050","0021","Urbano","01"
"97089","Cupules","Colonia","Mérida","Yucatán","Mérida","97002","31","97002",,"09","050","0022","Urbano","01"
"97098","Lourdes","Colonia","Mérida","Yucatán","Mérida","97002","31","97002",,"09","050","0025","Urbano","01"
"97099","Waspa","Fraccionamiento","Mérida","Yucatán","Mérida","97002","31","97002",,"21","050","0026","Urbano","01"
"97100","Itzimna 2","Fraccionamiento","Mérida","Yucatán","Mérida","97101","31","97101",,"21","050","0784","Urbano","01"
"97100","Itzimna","Fraccionamiento","Mérida","Yucatán","Mérida","97101","31","97101",,"21","050","0029","Urbano","01"
"97100","Itzimna","Colonia","Mérida","Yucatán","Mérida","97101","31","97101",,"09","050","0027","Urbano","01"
"97107","Manola","Fraccionamiento","Mérida","Yucatán","Mérida","97101","31","97101",,"21","050","0030","Urbano","01"
"97108","Las Arboledas","Fraccionamiento","Mérida","Yucatán","Mérida","97101","31","97101",,"21","050","0031","Urbano","01"
"97109","Ferrocarrileros","Colonia","Mérida","Yucatán","Mérida","97101","31","97101",,"09","050","0032","Urbano","01"
"97109","Jesús Carranza","Colonia","Mérida","Yucatán","Mérida","97101","31","97101",,"09","050","0033","Urbano","01"
"97110","Unidad Revolución","Fraccionamiento","Mérida","Yucatán","Mérida","97111","31","97111",,"21","050","0034","Urbano","01"
"97113","Sol Campestre","Fraccionamiento","Mérida","Yucatán","Mérida","97101","31","97101",,"21","050","0038","Urbano","01"
"97113","San Antonio","Residencial","Mérida","Yucatán","Mérida","97101","31","97101",,"30","050","1033","Urbano","01"
"97113","Montebello","Fraccionamiento","Mérida","Yucatán","Mérida","97101","31","97101",,"21","050","0037","Urbano","01"
"97114","Monte Alban","Fraccionamiento","Mérida","Yucatán","Mérida","97101","31","97101",,"21","050","0039","Urbano","01"
"97114","Privada Monterreal Plus","Colonia","Mérida","Yucatán","Mérida","97101","31","97101",,"09","050","0849","Urbano","01"
"97114","Residencial Sol Campestre","Fraccionamiento","Mérida","Yucatán","Mérida","97101","31","97101",,"21","050","0814","Urbano","01"
"97115","Montes de Ame","Colonia","Mérida","Yucatán","Mérida","97111","31","97111",,"09","050","0041","Urbano","01"
"97115","Cordemex","Colonia","Mérida","Yucatán","Mérida","97111","31","97111",,"09","050","0585","Urbano","01"
"97115","Hacienda Dzodzil","Colonia","Mérida","Yucatán","Mérida","97111","31","97111",,"09","050","0040","Urbano","01"
"97115","Gonzalo Guerrero","Fraccionamiento","Mérida","Yucatán","Mérida","97111","31","97111",,"21","050","0045","Urbano","01"
"97115","Revolución","Ampliacion","Mérida","Yucatán","Mérida","97111","31","97111",,"38","050","0655","Urbano","01"
"97115","Cordemex I","Fraccionamiento","Mérida","Yucatán","Mérida","97111","31","97111",,"21","050","0776","Urbano","01"
"97116","San Antonio Cucul","Fraccionamiento","Mérida","Yucatán","Mérida","97101","31","97101",,"21","050","0042","Urbano","01"
"97117","San Ramon Norte I","Colonia","Mérida","Yucatán","Mérida","97101","31","97101",,"09","050","0853","Urbano","01"
"97117","San Ramon Sur","Colonia","Mérida","Yucatán","Mérida","97101","31","97101",,"09","050","0044","Urbano","01"
"97117","San Ramon Norte","Colonia","Mérida","Yucatán","Mérida","97101","31","97101",,"09","050","0043","Urbano","01"
"97118","Plan de Ayala","Colonia","Mérida","Yucatán","Mérida","97201","31","97201",,"09","050","0647","Urbano","01"
"97118","Plan de Ayala","Fraccionamiento","Mérida","Yucatán","Mérida","97201","31","97201",,"21","050","0046","Urbano","01"
"97118","Villas Del Sol","Fraccionamiento","Mérida","Yucatán","Mérida","97201","31","97201",,"21","050","0047","Urbano","01"
"97119","Villas La Hacienda","Fraccionamiento","Mérida","Yucatán","Mérida","97101","31","97101",,"21","050","0049","Urbano","01"
"97119","Benito Juárez Nte","Colonia","Mérida","Yucatán","Mérida","97101","31","97101",,"09","050","0048","Urbano","01"
"97120","Tecnológico","Fraccionamiento","Mérida","Yucatán","Mérida","97201","31","97201",,"21","050","0054","Urbano","01"
