"d_codigo","d_asenta","d_tipo_asenta","D_mnpio","d_estado","d_ciudad","d_CP","c_estado","c_oficina","c_CP","c_tipo_asenta","c_mnpio","id_asenta_cpcons","d_zona","c_cve_ciudad"
"98000","Zacatecas Centro","Colonia","Zacatecas","Zacatecas","Zacatecas","98001","32","98001",,"09","056","0001","Urbano","03"
"98007","Secretaria de Agricultura Ganaderia y Desarrollo Rural","Gran usuario","Zacatecas","Zacatecas","Zacatecas","98601","32","98601",,"22","056","0005","Semiurbano","03"
"98008","Secretaria de Hacienda y Crédito Publico","Gran usuario","Zacatecas","Zacatecas","Zacatecas","98001","32","98001",,"22","056","0006","Urbano","03"
"98009","Palacio de Gobierno Del Estado de Zacatecas","Gran usuario","Zacatecas","Zacatecas","Zacatecas","98001","32","98001",,"22","056","0007","Urbano","03"
"98010","Lopez Velarde","Colonia","Zacatecas","Zacatecas","Zacatecas","98001","32","98001",,"09","056","0008","Urbano","03"
"98015","Mexicapan","Fraccionamiento","Zacatecas","Zacatecas","Zacatecas","98001","32","98001",,"21","056","0009","Urbano","03"
"98016","El Reventón","Colonia","Zacatecas","Zacatecas","Zacatecas","98001","32","98001",,"09","056","0010","Urbano","03"
"98017","Margaritas","Colonia","Zacatecas","Zacatecas","Zacatecas","98001","32","98001",,"09","056","0011","Urbano","03"
"98018","Garcia Salinas","Colonia","Zacatecas","Zacatecas","Zacatecas","98001","32","98001",,"09","056","0012","Urbano","03"
"98019","Pedro Ruiz Gonzalez Infonavit","Unidad habitacional","Zacatecas","Zacatecas","Zacatecas","98001","32","98001",,"31","056","0013","Urbano","03"
"98020","Gustavo Diaz Ordaz 1a Secc","Colonia","Zacatecas","Zacatecas","Zacatecas","98001","32","98001",,"09","056","0014","Urbano","03"
"98020","Gustavo Diaz Ordaz 3a Secc","Colonia","Zacatecas","Zacatecas","Zacatecas","98001","32","98001",,"09","056","0016","Urbano","03"
"98020","Gustavo Diaz Ordaz 2a Secc","Colonia","Zacatecas","Zacatecas","Zacatecas","98001","32","98001",,"09","056","0015","Urbano","03"
"98023","Lomas de Bracho","Colonia","Zacatecas","Zacatecas","Zacatecas","98001","32","98001",,"09","056","1439","Semiurbano","03"
